ID,ConfigFlags
1,256
2,0
61,4128
63,1040
64,32
65,73760
81,1072
102,8192
103,4096
121,65536
164,1280
165,1288
181,4368
221,20480
223,24576
261,4352
596,133376
597,139520
664,33024
685,8448
687,272
688,524544
692,2304
694,532736
719,526592
749,2097184
755,2097408
756,2097152
894,65824
901,1048608
1117,131072
1240,16777472
1394,1048864
1397,16777504
1398,16777248
1404,262400
1409,524288
1416,32800
1443,6291488
21,256
41,256
163,256
182,256
201,256
281,256
301,256
341,256
342,256
343,256
344,256
365,256
366,256
367,256
368,256
369,256
405,256
691,256
707,256
804,256
805,256
806,256
807,256
808,256
809,256
810,256
811,256
925,256
1189,256
1205,256
1253,256
1254,256
1421,256
1423,256
1424,256
1432,256
1455,256
1462,256
3,0
4,0
5,0
22,0
23,0
101,0
162,0
202,0
203,0
241,0
321,0
345,0
346,0
347,0
361,0
370,0
372,0
382,0
383,0
384,0
385,0
386,0
401,0
402,0
403,0
404,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
506,0
508,0
513,0
682,0
683,0
693,0
697,0
709,0
710,0
711,0
712,0
713,0
715,0
716,0
732,0
733,0
734,0
737,0
751,0
774,0
812,0
822,0
828,0
829,0
831,0
840,0
843,0
844,0
848,0
911,0
920,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
1033,0
1116,0
1159,0
1202,0
1203,0
1231,0
1247,0
1252,0
1259,0
1260,0
1265,0
1388,0
1389,0
1390,0
1395,0
1396,0
1400,0
1401,0
1402,0
1410,0
1411,0
1414,0
1415,0
1417,0
1427,0
1428,0
1433,0
1435,0
1436,0
1438,0
1439,0
1440,0
1444,0
1446,0
1448,0
1450,0
1451,0
1452,0
1453,0
1454,0
1457,0
1464,0
1465,0
1467,0
1468,0
1470,0
1472,0
62,4128
594,4128
884,4128
992,4128
1471,4128
348,32
349,32
350,32
351,32
362,32
363,32
364,32
371,32
695,32
700,32
714,32
731,32
801,32
827,32
837,32
849,32
852,32
893,32
895,32
900,32
972,32
1022,32
1034,32
1210,32
1392,32
1393,32
1408,32
1418,32
1419,32
1420,32
1422,32
1017,73760
184,8192
595,8192
662,8192
141,4096
142,4096
161,4096
183,4096
663,4096
222,20480
224,24576
262,4352
661,4352
815,8448
816,8448
689,272
690,272
759,524544
758,2097408
757,2097152
1204,65824
1241,16777472
1242,16777472
1405,262400
1406,262400
1407,262400
