ID,Field_9_0_1_33978_000,Field_9_0_1_33978_001,Field_9_0_1_33978_002,Field_9_0_1_33978_003,Field_9_0_1_33978_004,Field_9_0_1_33978_005,Field_9_0_1_33978_006,Field_9_0_1_33978_007,Field_9_0_1_33978_008,Field_9_0_1_33978_009,Field_9_0_1_33978_010,Field_9_0_1_33978_011,Field_9_0_1_33978_012,Field_9_0_1_33978_013,Field_9_0_1_33978_014,Field_9_0_1_33978_015,Field_9_0_1_33978_016,Field_9_0_1_33978_017,Field_9_0_1_33978_018,Field_9_0_1_33978_019,Field_9_0_1_33978_020,Field_9_0_1_33978_021,Field_9_0_1_33978_022,Field_9_0_1_33978_023,RibbonTexture,Field_9_0_1_33978_025,Field_9_0_1_33978_026,Flags,Field_9_0_1_33978_028,Field_9_0_1_33978_029,EffectTexture_0,EffectTexture_1,EffectTexture_2
2,0.03999999911,1,-0.5,0,0.01999999955,1,-0.10000000149,0,1,1,0,0,0.01999999955,0.20000000298,-1,0.05000000075,1,1,1,1,1,1,1,1,1890056,0,2,3,0,0,1715283,3153964,1715283
3,1,1,-0.01999999955,0.05000000075,0.00499999989,1,-0.05000000075,0.01999999955,0.03999999911,1,-0.5,-0.01999999955,0.00100000005,1,-0.01999999955,0.00999999978,1,1,1,1,2,2,2,2,3580329,0,3,0,0,2,1715283,3258604,1715283
6,0.00999999978,1,-0.05000000075,0.05000000075,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,1,-0.15000000596,0.05000000075,0.78823536634,0.91372555494,1,1,4,4,4,1,3580336,0,5,14,1,0.5,3258609,3580331,3580331
9,0.10000000149,1,0.10000000149,0.10000000149,0.00999999978,0.20000000298,0,0,0.01999999955,0.20000000298,0,0,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,1,1,1,1,1,1,1,1,1890056,0,0,3,1,0.5,895601,984062,1715283
10,0.03999999911,1,-1,0,0.01999999955,0.20000000298,-0.10000000149,0,1,1,0,0,0.01999999955,0.20000000298,-1,0.05000000075,1,1,1,1,1,1,1,1,1890056,2,5,3,0,0,192272,1715283,1715283
11,0.01999999955,0.40000000596,-0.10000000149,0.10000000149,0.01999999955,0.20000000298,-0.20000000298,0.01999999955,0.03999999911,0.40000000596,-0.20000000298,-0.01999999955,0.00999999978,0.10000000149,-0.20000000298,0.05000000075,1,1,1,1,10,1,1,10,1890056,1,8,3,0,0,1114561,192272,1715283
12,0.00999999978,0.40000000596,-0.11999999732,0.01999999955,0.00999999978,0.20000000298,-0.5,0,0.01999999955,0.20000000298,-0.10000000149,0,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,1,1,1,1,10,1,1,10,1890056,0,8,7,1,0,1114561,1715203,1715203
13,0.00499999989,1,-0.05000000075,0.00999999978,0.00499999989,1,-0.10000000149,-0.01999999955,0.00999999978,1,-0.10000000149,0.00999999978,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,0.30980393291,0.56862747669,0.71764707565,1,2,2,2,1,3580329,6,20,12,1,0.5,3258608,3258608,1715283
14,0.00499999989,1,-0.0700000003,0.05000000075,0.00999999978,1,-0.10000000149,-0.01999999955,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,1,-0.15000000596,0.05000000075,0.21176472306,0.46274513006,0.63921570778,1,4,4,4,16,3580269,0,20,12,1,0.5,3258605,1715283,1715283
15,0.00100000005,1,-0.03999999911,0.0120000001,0.00100000005,1,-0.07999999821,-0.00999999978,0.01999999955,1,-0.10000000149,0.00999999978,0.00499999989,0.10000000149,-0.15000000596,0.05000000075,0.21568629146,0.44313728809,0.63529413939,1,4,4,4,1,1966574,0,10,4,1,0.5,3258610,3258607,3258607
