Name_lang,Description_lang,ID,Pos_0,Pos_1,Pos_2,PortLocID,PlayerConditionID,UiTextureAtlasMemberID,Flags,WMOGroupID,PoiDataType,PoiData,Field_9_1_0_38783_011,ContinentID,AreaID,WorldStateID,Field_10_0_0_45141_012,UiWidgetSetID,UiTextureKitID,Field_9_1_0_38783_017,Importance,Icon
Anvilmar,,1,-6134.2797851562,383.76300048828,399.25399780273,0,0,0,517,0,0,0,0,0,132,0,0,0,0,0,3,7
Brill,,2,2249.8500976562,278.41400146484,34.1137008667,0,0,0,517,0,0,0,0,0,159,0,0,0,0,0,2,7
Darkshire,,3,-10564.700195312,-1170.6500244141,28.05050086975,0,0,0,517,0,0,0,0,0,10,0,0,0,0,0,3,0
Deathknell,,4,1879.8299560547,1588.1999511719,90.17199707031,0,0,0,517,0,0,0,0,0,154,0,0,0,0,0,3,7
"Dun Algaz",,5,-4191.0200195312,-2373.1398925781,205.15100097656,0,0,0,517,0,0,0,0,0,836,0,0,0,0,0,3,7
"Dun Modr",,6,-2610.2600097656,-2350.5600585938,81.59120178223,0,0,0,517,0,0,0,0,0,205,0,0,0,0,0,3,7
Goldshire,,7,-9480.08984375,63.52180099487,56.17570114136,0,0,0,517,0,0,0,0,0,87,0,0,0,0,0,3,7
Ironforge,,8,-4798.7758789062,-1107.4965820312,498.80718994141,0,0,0,541,0,0,0,0,0,1,0,0,0,0,0,3,46
Kharanos,,9,-5585.9501953125,-482.12701416016,397.01699829102,0,0,0,517,0,0,0,0,0,131,0,0,0,0,0,2,7
Lakeshire,,10,-9227.6904296875,-2201.4699707031,63.93339920044,0,0,0,517,0,0,0,0,0,44,0,0,0,0,0,3,0
"Menethil Harbor",,11,-3672.6999511719,-828.45501708984,9.89914989471,0,0,0,525,0,0,0,0,0,11,0,0,0,0,0,3,5
Moonbrook,,12,-11017.099609375,1510.1700439453,43.16569900513,0,0,0,517,0,0,0,0,0,20,0,0,0,0,0,3,7
"Northshire Abbey",,13,-8896.16015625,-179.32800292969,80.29090118408,0,0,0,517,0,0,0,0,0,24,0,0,0,0,0,3,7
"Raven Hill",,14,-10752.5,310.43301391602,40.16279983521,0,0,0,517,0,0,0,0,0,94,0,0,0,0,0,3,7
"Sentinel Hill",,15,-10503.700195312,1027.7600097656,55.58309936523,0,0,0,517,0,0,0,0,0,40,0,0,0,0,0,3,0
"Stormwind City",,16,-8678.42578125,729.60070800781,122.33387756348,0,0,0,541,0,0,0,0,0,12,0,0,0,0,0,3,46
"The Sepulcher",,17,508.07299804688,1619.0200195312,125.27200317383,0,0,0,517,0,0,0,0,0,130,0,0,0,0,0,2,0
Undercity,,18,1594.3385009766,240.28819274902,-52.14296340942,0,62731,0,541,0,0,0,0,0,85,0,0,0,0,0,4,48
Thelsamar,,19,-5349.2700195312,-2959.9099121094,323.62701416016,0,0,0,517,0,0,0,0,0,38,0,0,0,0,0,3,0
Alliance,,20,-448.98199462891,-1028.2199707031,431.97100830078,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0
Horde,,21,-669.13397216797,-483.28900146484,387.27301025391,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0
Southshore,,22,-803.03100585938,-531.72698974609,15.96539974213,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,3,5
"Tarren Mill",,23,-27.03540039063,-900.56201171875,55.96030044556,0,0,0,517,0,0,0,0,0,267,0,0,0,0,0,2,0
"Refuge Pointe",,24,-1251.0500488281,-2526.8100585938,20.71170043945,0,0,0,517,0,0,0,0,0,320,0,0,0,0,84,2,0
Hammerfall,,25,-991.57000732422,-3528.3400878906,56.54819869995,0,0,0,517,0,0,0,0,0,45,0,0,0,0,83,2,0
Kargath,,26,-6676.419921875,-2186.6799316406,245.82899475098,0,0,0,0,0,0,0,0,0,3,0,0,0,0,83,3,5
