ID,Radius,Height,ZOffset
11,5,4,0.30000001192
12,8,4,0.30000001192
14,8,2,0.30000001192
20,2,6,0.30000001192
23,60,10,0.30000001192
34,3,3,0.30000001192
45,43,100,0.30000001192
71,3,4,1
83,8,6,0.30000001192
87,1.5,3.5,0.30000001192
107,5,1.5,0.30000001192
155,3,3,0.5
318,2.5,5,1
601,16,40,20
703,3,5,1
835,20,20,5
836,50,30,0.30000001192
964,2.5,3,0.30000001192
1068,4,5,0.5
1077,10,10,2
1086,18,20,5
1093,10,10,3
1227,3.5,3,0.30000001192
1310,7,20,5
1328,42.5,150,20
1331,4,15,6
1400,100,150,20
1479,14,150,0.30000001192
