ID,Clothmodifier,Leathermodifier,Chainmodifier,Platemodifier,Modifier
1,0.11999999732,0.11999999732,0.11999999732,0.11999999732,0.11999999732
2,0,0,0,0,0
3,0.1099999994,0.1099999994,0.1099999994,0.1099999994,0.12999999523
5,0.15999999642,0.15999999642,0.15999999642,0.15999999642,0.15999999642
6,0.09000000358,0.09000000358,0.09000000358,0.09000000358,0.09000000358
7,0.1400000006,0.1400000006,0.1400000006,0.1400000006,0.1400000006
8,0.10000000149,0.10000000149,0.10000000149,0.10000000149,0.1099999994
9,0.07999999821,0.07999999821,0.07999999821,0.07999999821,0.10000000149
10,0.09000000358,0.09000000358,0.09000000358,0.09000000358,0.0700000003
16,0.1099999994,0.1099999994,0.1099999994,0.1099999994,0.07999999821
4,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
