Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Traveler
1	0	600	0	600	600	600	600	600	0	0	600	0	600	0	50
2	0	635	0	635	635	635	635	635	0	0	635	0	635	0	50
3	0	670	0	670	670	670	670	670	0	0	670	0	670	0	50
4	0	710	0	710	710	710	710	710	0	0	710	0	710	0	50
5	0	750	0	750	750	750	750	750	0	0	750	0	750	0	50
6	0	795	0	795	795	795	795	795	0	0	795	0	795	0	50
7	0	840	0	840	840	840	840	840	0	0	840	0	840	0	50
8	0	890	0	890	890	890	890	890	0	0	890	0	890	0	50
9	0	940	0	940	940	940	940	940	0	0	940	0	940	0	50
10	0	1000	0	1000	1000	1000	1000	1000	0	0	1000	0	1000	0	50
11	0	1070	0	1070	1070	1070	1070	1070	0	0	1070	0	1070	0	50
12	0	1140	0	1140	1140	1140	1140	1140	0	0	1140	0	1140	0	50
13	0	1225	0	1225	1225	1225	1225	1225	0	0	1225	0	1225	0	50
14	0	1310	0	1310	1310	1310	1310	1310	0	0	1310	0	1310	0	50
15	0	1400	0	1400	1400	1400	1400	1400	0	0	1400	0	1400	0	50
16	0	1500	0	1500	1500	1500	1500	1500	0	0	1500	0	1500	0	50
17	0	1605	0	1605	1605	1605	1605	1605	0	0	1605	0	1605	0	50
18	0	1715	0	1715	1715	1715	1715	1715	0	0	1715	0	1715	0	50
19	0	1835	0	1835	1835	1835	1835	1835	0	0	1835	0	1835	0	50
20	0	1965	0	1965	1965	1965	1965	1965	0	0	1965	0	1965	0	50
21	0	2105	0	2105	2105	2105	2105	2105	0	0	2105	0	2105	0	50
22	0	2250	0	2250	2250	2250	2250	2250	0	0	2250	0	2250	0	50
23	0	2410	0	2410	2410	2410	2410	2410	0	0	2410	0	2410	0	50
24	0	2580	0	2580	2580	2580	2580	2580	0	0	2580	0	2580	0	50
25	0	2760	0	2760	2760	2760	2760	2760	0	0	2760	0	2760	0	50
26	0	2950	0	2950	2950	2950	2950	2950	0	0	2950	0	2950	0	50
27	0	3160	0	3160	3160	3160	3160	3160	0	0	3160	0	3160	0	50
28	0	3380	0	3380	3380	3380	3380	3380	0	0	3380	0	3380	0	50
29	0	3615	0	3615	3615	3615	3615	3615	0	0	3615	0	3615	0	50
30	0	3870	0	3870	3870	3870	3870	3870	0	0	3870	0	3870	0	50
31	0	4140	0	4140	4140	4140	4140	4140	0	0	4140	0	4140	0	50
32	0	4430	0	4430	4430	4430	4430	4430	0	0	4430	0	4430	0	50
33	0	4745	0	4745	4745	4745	4745	4745	0	0	4745	0	4745	0	50
34	0	5075	0	5075	5075	5075	5075	5075	0	0	5075	0	5075	0	50
35	0	5430	0	5430	5430	5430	5430	5430	0	0	5430	0	5430	0	50
36	0	5810	0	5810	5810	5810	5810	5810	0	0	5810	0	5810	0	50
37	0	6220	0	6220	6220	6220	6220	6220	0	0	6220	0	6220	0	50
38	0	6655	0	6655	6655	6655	6655	6655	0	0	6655	0	6655	0	50
39	0	7120	0	7120	7120	7120	7120	7120	0	0	7120	0	7120	0	50
40	0	7620	0	7620	7620	7620	7620	7620	0	0	7620	0	7620	0	50
41	0	8155	0	8155	8155	8155	8155	8155	0	0	8155	0	8155	0	50
42	0	8725	0	8725	8725	8725	8725	8725	0	0	8725	0	8725	0	50
43	0	9335	0	9335	9335	9335	9335	9335	0	0	9335	0	9335	0	50
44	0	9990	0	9990	9990	9990	9990	9990	0	0	9990	0	9990	0	50
45	0	10690	0	10690	10690	10690	10690	10690	0	0	10690	0	10690	0	50
