Profession	Inspiration-Craft-Crit	Resourcefulness-Reagent-Reduction	Finesse-Gather-Extra	Deftness-Gather-Time-Decrease	Perception-Gather-Discover	Craft-Speed-Time-Decrease	Multicraft-Craft-Extra	UNUSED-Was-Finesse-Gather-Time-Increase	UNUSED-Was-Perception-Gather-Range
First Aid	0	0	0	0	0	0	0	0	0
Blacksmithing	0	0	0	0	0	0	0	0	0
Leatherworking	0	0	0	0	0	0	0	0	0
Alchemy	0	0	0	0	0	0	0	0	0
Herbalism	0	0	0	0	0	0	0	0	0
Cooking	0	0	0	0	0	0	0	0	0
Mining	0	0	0	0	0	0	0	0	0
Tailoring	0	0	0	0	0	0	0	0	0
Engineering	0	0	0	0	0	0	0	0	0
Enchanting	0	0	0	0	0	0	0	0	0
Fishing	0	0	0	0	0	0	0	0	0
Skinning	0	0	0	0	0	0	0	0	0
Jewelcrafting	0	0	0	0	0	0	0	0	0
Inscription	0	0	0	0	0	0	0	0	0
Archaeology	0	0	0	0	0	0	0	0	0
