ID,PositionOffset_0,PositionOffset_1,PositionOffset_2,TargetOffset_0,TargetOffset_1,TargetOffset_2,Type,Flags,PositionSmoothing,RotationSmoothing,FieldOfView,LockedPositionOffsetBase,LockedPositionOffsetDirection,LockedTargetOffsetBase,LockedTargetOffsetDirection,Field_10_1_5_50232_011
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,-13213.200195312,214.83599853516,66.20020294189,0,0,2,2,524,0.10000000149,0.10000000149,110,2,2,0,0,0
7,0,-1,0,0,2,0,2,120,0.60000002384,0.60000002384,90,0,2,1,2,0
8,0,-15,6,0,2,5,2,28,0.20000000298,0.20000000298,90,1,3,0,3,0
13,0,0,0,-9738.759765625,-3184.6101074219,96.4700012207,2,256,0.20000000298,0.20000000298,120,0,0,2,0,1
14,0,0,2,0,1,1,2,364,1,0.10000000149,90,0,2,1,2,1
15,0,0,0,0,5,1,2,312,1,0.5,90,0,0,0,0,1
16,1,-2,1,0,0,0,2,16,0,0,0,0,0,0,0,0
17,0,-2,5,0,0,0,2,96,0,0,90,0,0,1,0,0
18,0,-30,20,0,0,0,2,16,1,0,120,0,0,0,0,0
19,-10182,1362,38,-10150,1380,70,2,0,0,0,90,2,0,2,0,0
20,10,-20,5,-10,10,-5,2,96,0.10000000149,0.10000000149,60,0,2,1,2,0
21,16,0,2,0,0,0,2,0,0,0,90,0,0,0,0,0
22,-971.7490234375,1658.3599853516,148.39799499512,0,0,0,2,0,0,0,130,2,3,0,0,0
23,0,0,2,0,5,-1,2,312,2,1,90,0,0,0,0,1
24,0,0,0,0,25,0,2,376,0.30000001192,0.30000001192,120,0,2,1,2,1
25,0,0,0,0,0,0,2,124,0.20000000298,0.20000000298,120,0,0,1,2,0
26,0,-20,3,0,0,0,2,108,0.10000000149,0.10000000149,90,0,2,1,2,0
27,0,0,2,0,1,0,2,364,2,0.5,120,0,2,1,2,1
28,0,-2,0.5,0,0,0,2,272,0.30000001192,0.30000001192,120,0,0,0,0,1
29,1,0,5,0,0,0,2,108,0.10000000149,0.10000000149,90,0,2,1,2,0
30,1,-4,2,0,0,0,2,96,0,0,65,1,3,0,3,0
31,0,-8,-2,0,0,0,2,16,0.5,0.5,90,0,0,0,0,0
32,-4727,3851,72,0,0,0,2,0,0.20000000298,0.20000000298,90,2,0,0,0,0
33,0,-10,10,0,10,10,2,51,0,0,0,0,0,0,0,0
34,0,0,0,1015.1799926758,525.11602783203,-24.40589904785,2,4,0,0,80,0,0,2,0,0
35,0,0,0,712,-174,4,2,68,0,0,80,0,0,2,0,0
36,0,0,0,1014,500,191,2,68,0,0,80,0,0,2,0,0
37,0,0,0,975,514,-31,2,68,0,0,80,0,0,2,0,0
38,0,0,0,0,0,0,2,108,0.10000000149,0.10000000149,120,0,2,1,2,0
39,0,0,0,0,0,0,2,352,0,0,120,0,2,0,2,1
40,0,0,2,0.5,0,2,2,324,0,0,120,0,3,1,2,1
41,0,-7,6,1,0,3,2,327,0.10000000149,0.10000000149,115,0,3,1,2,1
42,0,-1,0,0,0,2,2,324,0,0,140,0,2,1,2,1
43,0,0,0,0,3,3,2,324,0,0,70,0,0,1,2,1
44,-8978,-1553,117,0,0,0,2,256,0.20000000298,0.20000000298,90,2,0,0,0,1
45,0,0,0,0,2,-2,2,272,0.20000000298,0.20000000298,50,0,0,0,0,1
46,-8940,-1564,103,0,0,0,2,256,0.20000000298,0.20000000298,90,2,0,0,0,1
47,-9136,-1662,162,0,0,0,2,352,0,0,90,2,0,1,1,1
48,0,0,0,0,7,-7,2,272,0.10000000149,0.10000000149,20,0,0,0,0,1
