ID,TabardAngle,TabardDampening,ExpectedWeaponSize,Angle_0,Angle_1,Angle_2,Angle_3,Angle_4,Dampening_0,Dampening_1,Dampening_2,Dampening_3,Dampening_4,TailAngle_0,TailAngle_1,TailDampening_0,TailDampening_1
1,0,0.5,1.25,0,-5,8,25,10,0.80000001192,0.80000001192,0.69999998808,0.5,0,0,0,0,0
2,0,0.20000000298,0.60000002384,-12,-14,18,10,0,0.69999998808,0.5,0.5,0.40000000596,0,0,0,0,0
3,0,0,1,-17,25,30,0,0,0.60000002384,0.60000002384,0.40000000596,0.20000000298,0.20000000298,0,0,0,0
4,0,0.64999997616,0.34999999404,-4,5,-2,10,20,0.98000001907,0.94999998808,0.94999998808,0.69999998808,0.5,0,0,0,0
5,0,0.30000001192,0.80000001192,-5,-5,18,20,0,0.69999998808,0.60000002384,0.60000002384,0.5,0.30000001192,0,0,0,0
6,0,0.40000000596,0.60000002384,-5,-5,15,20,0,0.5,0.69999998808,0.69999998808,0.5,0,0,0,0,0
7,0,0.30000001192,0.80000001192,-5,3,3,3,12,0.80000001192,0.80000001192,0.80000001192,0.60000002384,0.80000001192,0,0,0,0
8,5,0.5,0.34999999404,-5,0,0,20,20,0.89999997616,0.80000001192,0.80000001192,0.80000001192,0.5,0,0,0,0
9,-2,0.75,0.89999997616,-4,-6,5,20,20,0.60000002384,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
10,0,0.30000001192,0.5,-3,0,0,10,10,0.5,0.5,0.5,0.30000001192,0,0,0,0,0
12,-3,0.40000000596,1,-5,-8,15,40,0,0.69999998808,0.69999998808,0.60000002384,0.60000002384,0.20000000298,0,0,0,0
13,0,0,0.80000001192,-6,-3,20,28,0,0.69999998808,0.69999998808,0.69999998808,0.44999998808,0,0,0,0.30000001192,0.30000001192
14,0,0,0.60000002384,-8,24,10,10,0,0.80000001192,0.80000001192,0.5,0.30000001192,0,-10,0,0.30000001192,0.30000001192
15,0,0.5,1.25,2,0,5,10,0,0.5,0.60000002384,0.60000002384,0,0,0,0,0,0
16,0,0.30000001192,0.30000001192,-6,-7,-3,0,0,0.60000002384,0.80000001192,0.60000002384,0.5,0,0,0,0,0
17,0,0.30000001192,0.30000001192,5,4,0,0,0,0.80000001192,0.98000001907,0.98000001907,0.80000001192,0,0,0,0,0
18,0,0.5,1.29999995232,-3,0,-5,0,-8,0.69999998808,0.69999998808,0.69999998808,0.5,0.30000001192,0,0,0,0
19,0,0.5,1,0,0,10,25,0,0.69999998808,0.60000002384,0.60000002384,0.5,0,0,0,0,0
20,0,0.20000000298,0.40000000596,0,0,0,0,0,0.60000002384,0.40000000596,0.25,0.15000000596,0,0,0,0,0
21,0,0.20000000298,0.5,0,0,0,0,0,0.5,0.30000001192,0.30000001192,0.30000001192,0,0,0,0,0
22,0,0.30000001192,1.60000002384,-3,-4,0,40,10,0.60000002384,0.80000001192,0.80000001192,0.40000000596,0,0,0,0,0
23,0,0.30000001192,1.20000004768,0,0,0,15,10,0.60000002384,0.5,0.30000001192,0.20000000298,0,0,0,0,0
24,0,0,0.5,3.5,4,5,5,5,0.25,0.25,0.15000000596,0.25,0,0,0,0,0
25,0,0,0.5,0,0,-5,-5,0,0.40000000596,0.40000000596,0.30000001192,0.30000001192,0.5,0,0,0,0
