ID,QuestID,QuestGiverCreatureID,QuestMapID,QuestPosition_0,QuestPosition_1,QuestPosition_2,CollectableSourceInfoID
22715,58166,160439,2222,-5910.3349609375,-703.67706298828,5628.2802734375,50928
22716,58166,160439,2222,-5898.3471679688,-987.57464599609,5655.3383789062,50928
22717,25131,3145,1,-571.00347900391,-4260.126953125,38.23784637451,46247
22718,10895,19409,530,-670.42706298828,1851.84375,66.90962982178,41605
22719,10834,22231,530,-1337.7728271484,2355.0559082031,88.95517730713,41605
22720,29111,52207,1,293.90451049805,-2528.9340820312,91.66666412354,48552
22727,26637,43610,0,-9136.26953125,-3033.9499511719,108.63200378418,50931
22728,26637,43610,0,-9639.4697265625,-3476.0100097656,121.95600128174,50931
22729,26637,43459,0,-9465.6796875,-2826.0400390625,65.27839660645,50931
22730,26146,1092,0,-5868.017578125,-2638.6770019531,308.95022583008,50932
22731,26146,1092,0,-5324.5063476562,-2939.8361816406,333.60269165039,50932
22732,27752,48010,0,-3181.2900390625,-5061.4702148438,120.98500061035,50933
22733,27752,48175,0,-3182.2700195312,-5060.8500976562,120.9940032959,50933
22734,47528,124749,1642,-208.10069274902,1545.4826660156,385.28973388672,41607
22735,30893,61066,870,1401.78125,2689.9721679688,321.87588500977,43859
22736,30672,60139,870,-2576.3732910156,792.26910400391,0,41608
22758,13613,33263,1,1206.25,-2235.6999511719,92.71119689941,48554
22759,32861,71424,870,736.90277099609,-501.42361450195,440.15420532227,9280
22760,32861,69782,870,831.52606201172,-166.76042175293,422.81228637695,9280
22761,10594,21755,530,1914.8392333984,5578.6069335938,263.87640380859,41609
22762,26309,42622,0,-242.88542175293,-4179.2485351562,121.89945220947,50935
22763,26283,42612,0,-538.42706298828,-4579.6079101562,10.87799358368,50936
22768,12143,26978,571,4567.4130859375,13.66482257843,78.01425170898,41611
22769,12145,26979,571,4322.3041992188,1009.0200195312,95.60730743408,41611
22770,9810,18073,530,-782.62994384766,6936.5268554688,32.39336013794,41610
22771,10915,22446,530,-3740.0056152344,5409.0727539062,-3.33282709122,41612
22774,24927,38703,1,-7954.8681640625,-5245.220703125,1.25180971622,43860
22775,10185,19488,530,2247.1135253906,2277.4270019531,97.82827758789,46252
22776,26775,44017,0,-12841.099609375,-447.9580078125,12.96660041809,50939
22777,27088,44912,0,1081.1500244141,1568.6700439453,28.08230018616,50940
22778,899,3432,1,238.93576049805,-2967.8525390625,93.98199462891,43863
22779,25065,39059,1,-9757.2900390625,-3669.8664550781,10.86516952515,43864
22784,12219,27295,571,3435.2253417969,-2746.3620605469,199.38887023926,43866
22785,12207,27262,571,3316.8276367188,-2291.8393554688,110.10778045654,43866
22787,9694,17684,530,-1960.3880615234,-11883.228515625,48.90143585205,46253
22789,25513,39034,1,-7119.90625,-3797.7465820312,8.69920921326,43867
22790,27649,46585,0,-4453.1821289062,-4863.6059570312,123.16422271729,50944
22791,27649,46175,0,-4759.7797851562,-5225.330078125,117.40599822998,50944
22792,27649,46583,0,-4628.080078125,-5200.0297851562,108.48400115967,50944
22793,27649,46627,0,-4644.9301757812,-5101.9301757812,126.49099731445,50944
22794,26524,43156,0,-72.15450286865,-4028.6599121094,122.17800140381,50945
22795,25992,41811,0,-6816.5537109375,3761.78125,-403.66644287109,50946
22812,11969,26117,571,3570.3969726562,6650.4038085938,195.17988586426,41615
22828,24456,2948,1,-2341.4047851562,-445.44857788086,-6.50063276291,48558
22829,24456,2948,1,-2342.2448730469,-426.47048950195,-7.19396734238,48558
22830,28453,48569,0,-7499.740234375,-2188.6000976562,165.65800476074,50952
22831,25622,40895,1,1938.8872070312,-338.859375,118.25215911865,48559
22833,10186,19570,530,3041.7978515625,3658.8542480469,143.32286071777,41617
22834,26999,44454,0,1792.4879150391,-1701.953125,60.17961502075,50954
22835,24524,37024,1,-798.27081298828,-486.75695800781,-32.27559280396,41618
22836,49781,134515,1642,1708.7360839844,1958.0538330078,22.30780220032,46258
22837,49781,130930,1642,1663.7847900391,2178.5244140625,69.64339447021,46258
22844,11694,25705,571,4175.8657226562,4338.28515625,36.12886428833,43870
22845,11677,25604,571,3988.3559570312,4266.5537109375,26.14148139954,43870
22846,12610,28045,571,5929.837890625,-2378.6630859375,293.8405456543,43871
22847,25921,41540,0,-6369.1215820312,3641.3586425781,-406.42593383789,50956
22848,27144,44451,0,1540.1500244141,-1692.1800537109,57.42050170898,50957
22849,27144,44451,0,1540.1500244141,-1692.1800537109,57.42050170898,50957
22861,24812,38442,1,-802.984375,-5555.736328125,4.51770877838,41620
22862,24812,38442,1,-1257.2899169922,-5543.4150390625,19.7739944458,41620
22863,26055,2769,0,-2072.44140625,-2090.7758789062,9.18296337128,50961
22864,13151,27915,595,1813.2976074219,1283.5775146484,142.2424621582,41621
22865,49299,125962,1643,850.66839599609,2200.1320800781,2.41380023956,48562
22866,28470,9298,1,6395.5727539062,-2536.7475585938,541.53509521484,43876
22867,27853,7623,0,-10460.975585938,-3319.0747070312,39.85372161865,50962
22868,30078,56133,870,-39.9375,-23.56770896912,154.15769958496,46260
22869,30078,56133,870,-692.32989501953,1418.3004150391,135.61323547363,46260
22870,30078,56133,870,534.49829101563,-603.68402099609,258.39300537109,46260
22871,30078,56133,870,517.31768798828,-693.74829101563,247.25312805176,46260
22872,30078,56133,870,-712.78643798828,1266.2552490234,136.02229309082,46260
22873,30078,56133,870,166.94270324707,-275.45834350586,236.26095581055,46260
22874,30078,56133,870,-698.19268798828,1413.1528320312,135.55465698242,46260
22875,30078,56133,870,-33.11632156372,-24.27951431274,154.61831665039,46260
22876,30078,56133,870,-195.22917175293,487.77432250977,189.64526367188,46260
22877,30078,56133,870,-197.796875,485.35415649414,187.18887329102,46260
22878,30078,56133,870,459.23959350586,-287.95486450195,204.76246643066,46260
22879,30078,56133,870,-709.30731201172,1264.6927490234,136.02352905273,46260
22880,14241,36112,648,1079.8697509766,3241.8134765625,80.75637054443,43877
22881,25628,40888,1,-6293.7700195312,-4467.3798828125,88.06569671631,46261
22882,25192,39326,1,49.171875,-4220.283203125,35.30080795288,41623
22884,10055,21209,530,-595.78796386719,2890.8972167969,59.20400619507,41625
22885,10086,21283,530,145.44577026367,2690.0148925781,85.60005950928,41625
22887,28404,48558,1,-8988.8701171875,26.1875,-18.03370094299,41626
22889,27838,46135,1,-9758.25,-914.42700195313,57.00790023804,43878
22890,24486,1104,0,-6104.5048828125,384.0295715332,395.54223632813,50966
22891,24486,1104,1723,-6104.5048828125,384.0295715332,395.54223632813,50966
22892,27183,4792,1,-2952.7561035156,-3885.4050292969,34.22556686401,48565
22893,57269,157673,2222,-4038.9201660156,-5704.0678710938,6731.0356445312,50967
22894,57269,157673,2222,-4098.970703125,-4646.1196289062,6536.0014648438,50967
22895,57269,157673,2222,-4173.078125,-5203.2084960938,6535.5146484375,50967
22896,57269,160637,2222,-4038.9201660156,-5704.0693359375,6731.0400390625,50967
22897,57269,160637,2222,-4177.7133789062,-5502.109375,6501.8540039062,50967
22898,57269,160637,2222,-4145.486328125,-5016.5659179688,6542.673828125,50967
22907,28612,49151,1,-8840.939453125,377.23785400391,353.62982177734,41627
22908,13947,34359,1,3026.3029785156,-490.94619750977,203.03947448731,41628
22909,52,261,0,-9610.232421875,-1032.0521240234,41.22242355347,50970
22910,37530,89009,1220,-98.34375,6018.3291015625,0.4197832644,48567
22925,39438,95799,1220,5838.017578125,4518.0454101562,612.22485351563,48568
22926,26369,42642,0,-240.44792175293,-4185.8369140625,121.79820251465,50973
22927,13935,34377,1,2710.2534179688,-1891.078125,207.83743286133,46266
22928,24904,37783,654,-1369.1110839844,1209.8958740234,35.55965042114,48569
22929,24904,37783,654,-1369.1110839844,1209.8958740234,35.55965042114,48569
22936,42641,108072,1220,3026.7622070312,686.765625,17.67844390869,48571
22937,25790,41204,1,-5546.234375,-4451.4008789062,86.14092254639,41630
22938,10188,19644,1621,723.42016601563,320.91494750977,352.99609375,50975
22939,10188,19644,1621,745.828125,279.19271850586,352.99606323242,50975
22940,10188,19644,1621,736.92364501953,302.91494750977,352.99606323242,50975
22941,10188,19644,1621,748.40454101563,277.17883300781,352.99606323242,50975
22942,10188,19644,1621,750.50866699219,279.46701049805,352.99606323242,50975
22943,10188,19644,1621,741.82989501953,326.18923950195,352.99606323242,50975
22946,26333,42491,0,-5142.259765625,499.50201416016,395.54501342773,50977
22950,10011,18417,530,-1545.36328125,8785.48046875,35.1849822998,41631
22951,26535,43097,0,-13239.799804688,719.97900390625,3.15644001961,50979
22952,11884,25812,571,3221.7797851562,5273.1157226562,47.84603118896,46268
22960,31241,63748,870,1838.0833740234,-516.28643798828,364.05773925781,46269
22961,26924,44452,0,1288.6500244141,-1536.4699707031,58.68529891968,50981
22962,26924,44452,0,1497.5999755859,-1637.4699707031,66.14730072021,50981
22963,26924,44452,0,1536.8800048828,-1603.5899658203,65.23889923096,50981
22964,26924,44452,0,1593.6999511719,-1631.6099853516,64.82749938965,50981
22965,42447,107498,1220,4007.7058105469,1898.0086669922,190.50534057617,41633
22966,42447,107498,1220,4007.7058105469,1898.0086669922,190.50534057617,41633
22967,42447,107498,1220,3914.6076660156,2144.3125,228.87437438965,41633
22968,34666,79188,1116,3019.96875,4800.140625,130.31069946289,46270
22969,31360,64432,994,-3964.3681640625,-2539.9914550781,27.80290794373,46271
22970,31360,64432,994,-4684.3837890625,-2600.2326660156,28.39984130859,46271
22971,10318,20393,530,3884.9982910156,4013.0712890625,122.27983856201,48576
22972,12117,28382,571,2789.4252929688,4693.0161132812,1.85994005203,41635
22973,12118,24810,571,743.70648193359,-2884.83984375,7.17130279541,41635
22974,24910,38534,1,-7211.6318359375,-3757.7431640625,9.20896625519,41634
22975,412,1269,0,-5636.5498046875,-471,397.76998901367,50982
