Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
1	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
2	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
3	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
4	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
5	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
6	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
7	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
8	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
9	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
10	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
11	0	0.366788932	3.455208736	3.455208736	1.528287218	1.68111594	1.68111594	1.68111594	3.056530805	3.056530805	3.056530805	1	1	0.764143609	0	1.528287218	4.584861654	2.923638162	2.923638162	2.923638162	2.445259549	0.305657444	0	1.68111594	0	3.056530805	1.344892752	0	3.58810138	3.58810138	7.17620276	0
12	0	0.385128379	3.627969173	3.627969173	1.604701579	1.765171737	1.765171737	1.765171737	3.209357346	3.209357346	3.209357346	1	1	0.802350789	0	1.604701579	4.814104737	3.06982007	3.06982007	3.06982007	2.567522526	0.320940316	0	1.765171737	0	3.209357346	1.41213739	0	3.767506449	3.767506449	7.535012898	0
13	0	0.403467826	3.80072961	3.80072961	1.68111594	1.849227534	1.849227534	1.849227534	3.362183886	3.362183886	3.362183886	1	1	0.84055797	0	1.68111594	5.04334782	3.216001978	3.216001978	3.216001978	2.689785504	0.336223188	0	1.849227534	0	3.362183886	1.479382027	0	3.946911518	3.946911518	7.893823036	0
14	0	0.421807272	3.973490047	3.973490047	1.757530301	1.933283331	1.933283331	1.933283331	3.515010426	3.515010426	3.515010426	1	1	0.87876515	0	1.757530301	5.272590902	3.362183886	3.362183886	3.362183886	2.812048481	0.35150606	0	1.933283331	0	3.515010426	1.546626665	0	4.126316587	4.126316587	8.252633174	0
15	0	0.440146719	4.146250484	4.146250484	1.833944662	2.017339128	2.017339128	2.017339128	3.667836966	3.667836966	3.667836966	1	1	0.916972331	0	1.833944662	5.501833985	3.508365794	3.508365794	3.508365794	2.934311459	0.366788932	0	2.017339128	0	3.667836966	1.613871302	0	4.305721656	4.305721656	8.611443312	0
16	0	0.458486165	4.31901092	4.31901092	1.910359023	2.101394925	2.101394925	2.101394925	3.820663507	3.820663507	3.820663507	1	1	0.955179511	0	1.910359023	5.731077068	3.654547702	3.654547702	3.654547702	3.056574436	0.382071805	0	2.101394925	0	3.820663507	1.68111594	0	4.485126725	4.485126725	8.97025345	0
17	0	0.476825612	4.491771357	4.491771357	1.986773383	2.185450722	2.185450722	2.185450722	3.973490047	3.973490047	3.973490047	1	1	0.993386692	0	1.986773383	5.96032015	3.80072961	3.80072961	3.80072961	3.178837414	0.397354677	0	2.185450722	0	3.973490047	1.748360577	0	4.664531794	4.664531794	9.329063588	0
18	0	0.495165059	4.664531794	4.664531794	2.063187744	2.269506519	2.269506519	2.269506519	4.126316587	4.126316587	4.126316587	1	1	1.031593872	0	2.063187744	6.189563233	3.946911518	3.946911518	3.946911518	3.301100391	0.412637549	0	2.269506519	0	4.126316587	1.815605215	0	4.843936863	4.843936863	9.687873726	0
19	0	0.513504505	4.837292231	4.837292231	2.139602105	2.353562316	2.353562316	2.353562316	4.279143127	4.279143127	4.279143127	1	1	1.069801053	0	2.139602105	6.418806316	4.093093426	4.093093426	4.093093426	3.423363368	0.427920421	0	2.353562316	0	4.279143127	1.882849853	0	5.023341932	5.023341932	10.04668386	0
20	0	0.531843952	5.010052668	5.010052668	2.216016466	2.437618113	2.437618113	2.437618113	4.431969668	4.431969668	4.431969668	1	1	1.108008233	0	2.216016466	6.648049399	4.239275334	4.239275334	4.239275334	3.545626346	0.443203293	0	2.437618113	0	4.431969668	1.95009449	0	5.202747001	5.202747001	10.405494	0
21	0	0.537339673	5.061823212	5.061823212	2.238915303	2.462806833	2.462806833	2.462806833	4.477766688	4.477766688	4.477766688	1	1	1.119457652	0	2.238915303	6.716745909	4.283081179	4.283081179	4.283081179	3.582264485	0.447783061	0	2.462806833	0	4.477766688	1.970245467	0	5.25650872	5.25650872	10.51301744	0
22	0	0.543071296	5.115815993	5.115815993	2.262797066	2.489076773	2.489076773	2.489076773	4.525529532	4.525529532	4.525529532	1	1	1.131398533	0	2.262797066	6.788391199	4.328767379	4.328767379	4.328767379	3.620475306	0.452559413	0	2.489076773	0	4.525529532	1.991261418	0	5.312578146	5.312578146	10.62515629	0
23	0	0.54904508	5.172089969	5.172089969	2.287687834	2.516456617	2.516456617	2.516456617	4.575310357	4.575310357	4.575310357	1	1	1.143843917	0	2.287687834	6.863063502	4.37638382	4.37638382	4.37638382	3.660300534	0.457537567	0	2.516456617	0	4.575310357	2.013165294	0	5.371016506	5.371016506	10.74203301	0
24	0	0.555267591	5.230706988	5.230706988	2.313614963	2.544976459	2.544976459	2.544976459	4.627163874	4.627163874	4.627163874	1	1	1.156807481	0	2.313614963	6.940844888	4.425982836	4.425982836	4.425982836	3.70178394	0.462722993	0	2.544976459	0	4.627163874	2.035981167	0	5.431888026	5.431888026	10.86377605	0
25	0	0.561745713	5.291731903	5.291731903	2.340607137	2.574667851	2.574667851	2.574667851	4.681147453	4.681147453	4.681147453	1	1	1.170303569	0	2.340607137	7.021821412	4.477619303	4.477619303	4.477619303	3.74497142	0.468121427	0	2.574667851	0	4.681147453	2.059734281	0	5.495260053	5.495260053	10.99052011	0
26	0	0.568486662	5.355232686	5.355232686	2.368694423	2.605563865	2.605563865	2.605563865	4.737321222	4.737321222	4.737321222	1	1	1.184347211	0	2.368694423	7.106083269	4.531350734	4.531350734	4.531350734	3.789911077	0.473738885	0	2.605563865	0	4.737321222	2.084451092	0	5.561203174	5.561203174	11.12240635	0
27	0	0.575497997	5.421280556	5.421280556	2.397908321	2.637699153	2.637699153	2.637699153	4.795748184	4.795748184	4.795748184	1	1	1.19895416	0	2.397908321	7.193724963	4.587237394	4.587237394	4.587237394	3.836653313	0.479581664	0	2.637699153	0	4.795748184	2.110159322	0	5.629791347	5.629791347	11.25958269	0
28	0	0.582787638	5.48995011	5.48995011	2.428281826	2.671110009	2.671110009	2.671110009	4.856494328	4.856494328	4.856494328	1	1	1.214140913	0	2.428281826	7.284845479	4.6453424	4.6453424	4.6453424	3.885250922	0.485656365	0	2.671110009	0	4.856494328	2.136888007	0	5.701102037	5.701102037	11.40220407	0
29	0	0.590363878	5.561319461	5.561319461	2.45984949	2.705834439	2.705834439	2.705834439	4.919628754	4.919628754	4.919628754	1	1	1.229924745	0	2.45984949	7.37954847	4.705731852	4.705731852	4.705731852	3.935759184	0.491969898	0	2.705834439	0	4.919628754	2.164667551	0	5.775216363	5.775216363	11.55043273	0
30	0	0.598235396	5.635470387	5.635470387	2.492647483	2.741912232	2.741912232	2.741912232	4.985223804	4.985223804	4.985223804	1	1	1.246323742	0	2.492647483	7.47794245	4.768474943	4.768474943	4.768474943	3.988235973	0.498529497	0	2.741912232	0	4.985223804	2.193529785	0	5.852219248	5.852219248	11.7044385	0
31	0	0.60641128	5.712488483	5.712488483	2.526713665	2.779385032	2.779385032	2.779385032	5.053355196	5.053355196	5.053355196	1	1	1.263356833	0	2.526713665	7.580140996	4.833644101	4.833644101	4.833644101	4.042741865	0.505342733	0	2.779385032	0	5.053355196	2.223508026	0	5.932199578	5.932199578	11.86439916	0
32	0	0.614901038	5.792463321	5.792463321	2.562087657	2.818296422	2.818296422	2.818296422	5.124102169	5.124102169	5.124102169	1	1	1.281043828	0	2.562087657	7.68626297	4.901315118	4.901315118	4.901315118	4.099340251	0.512417531	0	2.818296422	0	5.124102169	2.254637138	0	6.015250372	6.015250372	12.03050074	0
33	0	0.623714619	5.875488629	5.875488629	2.598810913	2.858692005	2.858692005	2.858692005	5.197547633	5.197547633	5.197547633	1	1	1.299405457	0	2.598810913	7.79643274	4.971567301	4.971567301	4.971567301	4.158097461	0.519762183	0	2.858692005	0	5.197547633	2.286953604	0	6.101468961	6.101468961	12.20293792	0
34	0	0.632862434	5.961662462	5.961662462	2.636926807	2.900619487	2.900619487	2.900619487	5.273778332	5.273778332	5.273778332	1	1	1.318463403	0	2.636926807	7.91078042	5.044483622	5.044483622	5.044483622	4.219082891	0.527385361	0	2.900619487	0	5.273778332	2.32049559	0	6.190957172	6.190957172	12.38191434	0
