Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
1	1.5	1.5	1.5	1.5
2	1.5	1.5	1.5	1.5
3	1.5	1.5	1.5	1.5
4	1.5	1.5	1.5	1.5
5	1.5	1.5	1.5	1.5
6	1.5	1.5	1.5	1.5
7	1.5	1.5	1.5	1.5
8	1.5	1.5	1.5	1.5
9	1.5	1.5	1.5	1.5
10	1.5	1.5	1.5	1.5
11	1.5	1.5	1.5	1.5
12	1.5	1.5	1.5	1.5
13	1.5	1.5	1.5	1.5
14	1.5	1.5	1.5	1.5
15	1.5	1.5	1.5	1.5
16	1.5	1.5	1.5	1.5
17	1.5	1.5	1.5	1.5
18	1.5	1.5	1.5	1.5
19	1.5	1.5	1.5	1.5
20	1.5	1.5	1.5	1.5
21	1.5	1.5	1.5	1.5
22	1.5	1.5	1.5	1.5
23	1.5	1.5	1.5	1.5
24	1.5	1.5	1.5	1.5
25	1.5	1.5	1.5	1.5
26	1.5	1.5	1.5	1.5
27	1.5	1.5	1.5	1.5
28	1.5	1.5	1.5	1.5
29	1.5	1.5	1.5	1.5
30	1.5	1.5	1.5	1.5
31	1.5	1.5	1.5	1.5
32	1.5	1.5	1.5	1.5
33	1.5	1.5	1.5	1.5
34	1.5	1.5	1.5	1.5
35	1.5	1.5	1.5	1.5
36	1.5	1.5	1.5	1.5
37	1.5	1.5	1.5	1.5
38	1.5	1.5	1.5	1.5
39	1.5	1.5	1.5	1.5
40	1.5	1.5	1.5	1.5
41	1.5	1.5	1.5	1.5
42	1.5	1.5	1.5	1.5
43	1.5	1.5	1.5	1.5
44	1.5	1.5	1.5	1.5
45	1.5	1.5	1.5	1.5
46	1.5	1.5	1.5	1.5
47	1.5	1.5	1.5	1.5
48	1.5	1.5	1.5	1.5
49	1.5	1.5	1.5	1.5
50	1.5	1.5	1.5	1.5
51	1.5	1.5	1.5	1.5
52	1.5	1.5	1.5	1.5
53	1.5	1.5	1.5	1.5
54	1.5	1.5	1.5	1.5
55	1.5	1.5	1.5	1.5
56	1.5	1.5	1.5	1.5
57	1.5	1.5	1.5	1.5
58	1.5	1.5	1.5	1.5
59	1.5	1.5	1.5	1.5
60	1.5	1.5	1.5	1.5
61	1.5	1.5	1.5	1.5
62	1.5	1.5	1.5	1.5
63	1.5	1.5	1.5	1.5
64	1.5	1.5	1.5	1.5
65	1.5	1.5	1.5	1.5
66	1.5	1.5	1.5	1.5
67	1.5	1.5	1.5	1.5
68	1.5	1.5	1.5	1.5
69	1.5	1.5	1.5	1.5
70	1.5	1.5	1.5	1.5
71	1.5	1.5	1.5	1.5
72	1.5	1.5	1.5	1.5
