ID,Pos_0,Pos_1,Pos_2,MapID
2,-2011,6670,31.12999916077,1505
3,2742,6000,26.20000076294,1672
4,1248.0460205078,1646.9370117188,54.17100143433,572
5,1314.7159423828,758.76599121094,28.52099990845,617
6,-10734.522460938,476.8630065918,41.63800048828,980
7,560,600,394.10299682617,1134
8,3582,5536.8901367188,345.2799987793,1552
9,1431,1225,51.97800064087,1504
113,1025,-300,30,1825
114,-1920,1305,50,1911
115,-290,-230,75,2167
116,-1216,765,7268,2373
117,-540.59497070313,4212.830078125,415.25698852539,2563
