ID,_Order,CraftingQualityID,QualityPercentage,Field_10_0_0_44895_004,CraftingDifficultyID
1,0,1,0,1,1
2,1,2,50,1.10000002384,1
3,2,3,100,1.20000004768,1
4,0,4,0,1,2
5,1,5,20,1.04999995232,2
6,2,6,50,1.10000002384,2
7,3,7,80,1.14999997616,2
8,4,8,100,1.20000004768,2
19,0,1,0,1,7
20,1,2,1,1,7
21,2,3,100,1,7
30,0,1,0,1,13
31,1,2,50,1.10000002384,13
32,2,3,100,1.20000004768,13
33,0,4,0,1,14
34,1,5,20,1.04999995232,14
35,2,6,50,1.10000002384,14
36,3,7,80,1.14999997616,14
37,4,8,100,1.20000004768,14
38,0,1,0,1,15
39,1,2,50,1.10000002384,15
40,2,3,100,1.20000004768,15
41,0,1,0,1,16
42,1,2,50,1.10000002384,16
43,2,3,100,1.20000004768,16
44,0,1,0,1,17
45,1,2,50,1.10000002384,17
46,2,3,100,1.20000004768,17
47,0,1,0,1,18
48,1,2,50,1.10000002384,18
49,2,3,100,1.20000004768,18
50,0,4,0,1,19
51,1,5,20,1.04999995232,19
52,2,6,50,1.10000002384,19
53,3,7,80,1.14999997616,19
54,4,8,100,1.20000004768,19
55,0,4,0,1,20
56,1,5,20,1.04999995232,20
57,2,6,50,1.10000002384,20
58,3,7,80,1.14999997616,20
59,4,8,100,1.20000004768,20
60,0,4,0,1,21
61,1,5,20,1.04999995232,21
62,2,6,50,1.10000002384,21
63,3,7,80,1.14999997616,21
64,4,8,100,1.20000004768,21
65,0,1,0,1,22
66,1,2,50,1.10000002384,22
67,2,3,100,1.20000004768,22
68,0,1,0,1,23
69,1,2,50,1.10000002384,23
70,2,3,100,1.20000004768,23
71,0,1,0,1,24
72,1,2,50,1.10000002384,24
73,2,3,100,1.20000004768,24
74,0,13,0,1,25
75,1,14,100,1.20000004768,25
76,0,13,0,1,26
77,1,14,100,1.20000004768,26
78,0,13,0,1,27
79,1,14,100,1.20000004768,27
80,0,13,0,1,28
81,1,14,100,1.20000004768,28
82,0,13,0,1,29
83,1,14,100,1.20000004768,29
84,0,13,0,1,30
85,1,14,100,1.20000004768,30
86,0,13,0,1,31
87,1,14,100,1.20000004768,31
88,0,4,0,1,32
89,1,5,20,1.04999995232,32
90,2,6,50,1.10000002384,32
91,3,7,80,1.14999997616,32
92,4,8,100,1.20000004768,32
93,0,4,0,1,33
94,1,5,20,1.04999995232,33
95,2,6,50,1.10000002384,33
96,3,7,80,1.14999997616,33
97,4,8,100,1.20000004768,33
98,0,4,0,1,34
99,1,5,20,1.04999995232,34
100,2,6,50,1.10000002384,34
101,3,7,80,1.14999997616,34
102,4,8,100,1.20000004768,34
103,0,4,0,1,35
104,1,5,20,1.04999995232,35
105,2,6,50,1.10000002384,35
106,3,7,80,1.14999997616,35
107,4,8,100,1.20000004768,35
108,0,13,0,1,36
109,1,14,100,1.20000004768,36
