Name_lang,ID,DyeColorCategoryID,Field_12_0_0_63534_003,ItemID,SwatchColorStart,SwatchColorEnd,SortOrder
"Warm Teak",3,2,1,259053,-3761562,-14808573,0
"Basic Birch",4,2,2,259078,-793906,-14019834,1
"Mesquite Brown",5,2,3,259096,-6324389,-14873596,2
Pinewood,6,2,4,259097,-5790596,-15396605,3
Darkwood,7,2,5,259098,-7372429,-16185590,4
"Highland Birch",8,2,6,259099,-2961214,-14738405,5
"Holy Oak Tan",9,2,7,259100,-1520493,-14282491,6
"Pale Umber",10,2,8,259101,-4149098,-14806509,7
Mahogany,11,2,9,259102,-9878988,-13428202,8
Heartwood,12,2,10,259103,-7703477,-15398392,9
Stormsteel,13,3,52,259104,-4140594,-15724271,0
Copper,14,3,53,259105,-3699899,-15660537,1
"Zandalari Gold",15,3,54,259106,-669635,-14218240,2
Brass,16,3,55,259107,-1847687,-15200255,3
Bronze,17,3,56,259108,-1916552,-14478333,4
"Dark Iron",18,3,57,259109,-7959152,-16316664,5
"Kul Tiran Steel",19,3,58,259110,-6105647,-15461613,6
Gold,20,3,59,258838,-534456,-14807296,7
Ironclaw,21,3,60,259111,-9206155,-16052726,8
"Dark Gold",22,3,61,259112,-6520009,-15988990,9
"Horde Red",23,1,102,259113,-5170146,-14351870,0
"Lush Green",24,1,103,259114,-12607410,-16248059,1
"Alliance Blue",25,1,104,259115,-12626542,-16447725,2
"Kirin Tor Violet",26,1,105,259116,-7451976,-15726821,3
"Sandfury Yellow",27,1,106,259117,-4875226,-14937339,4
"Elwynn Pumpkin",28,1,107,259118,-3836882,-14610171,5
"Netherstorm Fuchsia",29,1,108,259119,-4695372,-14283993,6
Bone-White,30,1,109,259120,-1185078,-14018040,7
"Obsidium Black",31,1,110,259121,-12564915,-16711423,8
"Earthen Brown",32,1,111,259122,-9086921,-15660023,9
"Stormheim Grey",33,1,112,259123,-9146519,-15659508,10
"Silversage Green",34,1,113,259124,-6244468,-14275551,11
"Un'Goro Green",35,1,114,259125,-14714011,-16247535,12
"Void Violet",36,1,115,259126,-10405966,-15856364,13
"Firebloom Red",37,1,116,259127,-5685473,-15268092,14
"Kalimdor Sand",38,1,117,259128,-5468839,-14937593,15
"Zephras Blue",39,1,118,259129,-10381652,-15853530,16
"Nightsong Lilac",40,1,119,259130,-6586406,-13557167,17
Arcwine,41,1,120,259131,-5552003,-14415090,18
"Kodohide Brown",42,1,121,259132,-6003902,-14415349,19
"Dustwallow Green",43,1,122,259133,-6841541,-15986428,20
"Emerald Dreaming",44,1,123,259134,-10569071,-16246510,21
"Midnight Blue",45,1,124,259135,-12693806,-16250079,22
"Vortex Teal",46,1,125,259136,-5711133,-15917536,23
"Sungrass Yellow",47,1,126,259137,-1054044,-14411772,24
"Savannah Gold",48,1,127,259138,-2247884,-14871806,25
"Gilnean Rose",49,1,128,259139,-5887417,-15203320,26
"Moonberry Amethyst",50,1,129,259140,-8501643,-15530480,27
"Vol'dun Taupe",51,1,130,259141,-9015724,-15331064,28
"Ratchet Rust",52,1,131,259142,-9225937,-15267834,29
"Gravemoss Green",53,1,132,259143,-10786983,-16183799,30
"Forsaken Plum",54,1,133,259144,-9215364,-15725039,31
"Timbermaw Brown",55,1,134,259145,-9610414,-15199471,32
"Nazjatar Navy",56,1,135,259146,-11775890,-16053233,33
"Grizzly Hills Green",57,1,136,259147,-11573440,-15985656,34
"Tidesage Teal",58,1,137,259148,-12746368,-16116973,35
"Highborne Marble",59,1,138,259149,-2568760,-14147555,36
Earthroot,60,1,139,259150,-8688086,-16054010,37
"Deep Mageroyal Red",61,1,140,259151,-9885913,-15858427,38
"Hinterlands Hickory",62,1,141,259152,-8042424,-15661048,39
"Dusk Lily Grey",63,1,142,259153,-5465645,-10859651,40
"Rain Poppy Red",64,1,143,259154,-1610899,-14152684,41
