ID,Flags,Saturation,GammaRed,GammaGreen,GammaBlue,MaskOffsetY,MaskSizeMultiplier,MaskPower,ColorMultiplyRed,ColorMultiplyGreen,ColorMultiplyBlue,ColorMultiplyOffsetY,ColorMultiplyMultiplier,ColorMultiplyPower,ColorAdditionRed,ColorAdditionGreen,ColorAdditionBlue,ColorAdditionOffsetY,ColorAdditionMultiplier,ColorAdditionPower,OverlayTextureFileDataID,BlurIntensity,BlurOffsetY,BlurMultiplier,BlurPower,EffectFadeInMs,EffectFadeOutMs,TextureBlendSetID
2,152,1,1,1,1,0,1,1,0,0.14509804547,1,0,1,1,0.92941182852,0.45490199327,0.09411765635,0,1,1,0,0,0,3,1,1500,1500,550
10,24,1,0.24705883861,0.67843139172,1,-0.25,3,1,1,0.21568629146,0.08627451211,0,1,1,0.60392159224,0.14117647707,0,0,1,1,2159813,1,0,3,1,500,300,614
11,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1500,150,439
12,0,1,0,0.41176474094,1,0,-0.5,1,1,0.22352942824,0.08627451211,0,1,1,0.13333334029,1,0,0,0.5,1,0,-5,0,6,1,500,1000,625
13,24,1,0.99607849121,0.99607849121,0.99607849121,0,-1,1,0,0.5647059083,1,0,1,1,0,0.74117648602,1,0,1,1,2160759,-1,0,1,1,500,1000,786
115,512,1,0.24705883861,0.67843139172,1,0,0,0,0.36470589042,0.87058830261,0.25882354379,0.25,1,0.05000000075,0.29803922772,0.72941178083,0.24705883861,1,1,1,4272488,1,0,0,1,300,300,1175
116,88,1,0.24705883861,0.67843139172,1,-0.25,1,5,0.08627451211,1,0.96470594406,0,1,1,0,0.24705883861,0.28627452254,1,1,1,0,1,0,3,1,500,1000,780
117,24,1,0.24705883861,0.67843139172,1,-0.25,3,1,0,0.00784313772,0.31764706969,0,1,1,0.60392159224,0.14117647707,0,0,1,1,2159762,1,0,3,1,300,300,781
118,24,1,0.24705883861,0.67843139172,1,-0.25,3,1,0.27843138576,0,0.41960787773,0,1,1,0.60392159224,0.14117647707,0,0,1,1,0,1,0,3,1,300,300,782
119,24,1,0.24705883861,0.67843139172,1,-0.25,3,1,0.22352942824,0,0.00784313772,0,1,1,0.60392159224,0.14117647707,0,0,1,1,0,1,0,3,1,300,300,783
120,24,1,0.24705883861,0.67843139172,1,-0.25,3,1,0.60784316063,0.52156865597,0.46666669846,0,4,1,0.66666668653,0.45490199327,0.4392157197,0,1,1,2159819,1,0,3,1,300,300,785
121,24,1,0.24705883861,0.67843139172,1,-0.25,3,1,0,0.00784313772,0.31764706969,0,1,1,0.60392159224,0.14117647707,0,0,1,1,2159762,1,0,3,1,0,100,781
122,24,1,0.24705883861,1,0.36470589042,-0.25,3,1,0,1,0.00784313772,0,1,1,0,0.60392159224,0.13725490868,0,1,1,2199089,1,0,3,1,300,300,789
123,24,1,0.24705883861,0.67843139172,1,-0.25,3,1,0.44705885649,0.98039221764,1,0,1,1,0.60392159224,0.14117647707,0,0,1,1,2202482,1,0,1,1,300,300,790
