Name_lang,Pos_0,Pos_1,Pos_2,Rot_0,Rot_1,Rot_2,Rot_3,ID,OwnerID,DisplayID,Scale,TypeID,PhaseUseFlags,PhaseID,PhaseGroupID,Field_11_0_0_54210_011,PropValue_0,PropValue_1,PropValue_2,PropValue_3,PropValue_4,PropValue_5,PropValue_6,PropValue_7
"Northshire Abbey",-9430.9111328125,62.53645706177,56.77876663208,0,0,1,0,89,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Stormwind City",-9430.8662109375,64.51041412354,56.78524017334,0,0,0,1,90,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Northshire Abbey",-9499.404296875,66.82118225098,56.01195144653,0,0,-0.79335296154,0.60876190662,91,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Stormwind City",-9499.421875,66.82986450195,56.56776046753,0,0,-0.79335296154,0.60876190662,92,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Westbrook Garrison",-9500.0869140625,68.00347137451,56.54922485352,0,0,-0.13052631915,0.99144488573,93,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westfall,-9500.080078125,67.98264312744,55.99301528931,0,0,-0.13052631915,0.99144488573,94,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Eastvale Logging Camp",-9500.5595703125,66.078125,56.56288146973,0,0,0.99144488573,0.13052622974,95,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Redridge,-9500.544921875,66.06944274902,56.00724411011,0,0,0.99144488573,0.13052622974,96,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Goldshire,-9647.84375,-1335.7396240234,49.68391418457,0,0,-0.13052606583,0.99144488573,97,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Stormwind City",-9647.8369140625,-1335.7603759766,49.13138198853,0,0,-0.13052606583,0.99144488573,98,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Redridge,-9648.3173828125,-1337.6649169922,49.67808914185,0,0,0.99144488573,0.13052588701,99,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Eastvale Logging Camp",-9647.1787109375,-1336.9132080078,49.67782592773,0,0,-0.79335314035,0.60876166821,100,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stranglethorn,-10542.548828125,-1180.2639160156,27.82652664185,0,0,0.60181498528,0.79863554239,101,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Raven Hill",-10542.638671875,-1180.2430419922,26.49305534363,0,0,0.60181498528,0.79863554239,102,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Deadwind Pass",-10541.716796875,-1181.6857910156,27.83502388,0,0,0.99026811123,0.13917309046,103,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Redridge,-10540.254882812,-1180.8420410156,27.84214019775,0,0,-0.79863518476,0.60181546211,104,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stranglethorn,-10812.543945312,304.43011474609,31.43997573853,0,0,0.99026799202,-0.13917300105,105,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westfall,-10813.26953125,306.67990112305,31.47378921509,0,0,0.13917300105,0.99026799202,106,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Darkshire,-10812.514648438,304.34326171875,30.05175209045,0,0,0.99026799202,-0.13917300105,107,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Raven Hill",-10811.799804688,305.89593505859,31.43815040588,0,0,-0.60181498528,0.79863601923,108,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westfall,-10891.934570312,-366.61978149414,37.3369140625,0,0,-0.14349199831,0.98965197802,109,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stranglethorn,-10893.372070312,-367.54513549805,38.74494552612,0,0,0.59832501411,0.80125397444,110,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
"Raven Hill",-10891.958007812,-366.70834350586,38.728515625,0,0,-0.14349199831,0.98965197802,111,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Darkshire,-10892.553710938,-368.99652099609,38.73027420044,0,0,0.98965102434,0.14349299669,112,0,27,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Duskwood,-9590.6240234375,-1929.1011962891,63.4875831604,0,0,0.81157398224,0.5842499733,113,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Lakeshire,-9589.3994140625,-1929.7510986328,63.44013214111,0,0,0.98699599504,-0.16074299812,114,0,26,1,5,0,0,0,0,1,1,0,0,0,0,0,0
