ID,Position_0,Position_1,GarrTalentID
1,2005.6700439453,-1589.7700195312,1249
2,3352.5700683594,-1052.9300537109,1250
3,1458.9899902344,-3308.4299316406,1251
4,3731.5300292969,-2385.580078125,1252
5,3054.5,-2690.5600585938,1253
6,3386.7600097656,-3638.169921875,1254
7,-2527.75,-6179.3999023438,1239
8,-4008.0900878906,-5754.1899414062,1237
9,-3316.3000488281,-3369.8798828125,1238
10,-1430.2600097656,-4751.8598632812,1240
11,-1879.8499755859,-2777.169921875,1241
12,-2184.3000488281,-4011.0700683594,1242
13,-6111.919921875,-366.66400146484,1245
14,-6938.6499023438,29.1702003479,1246
15,-5874.4702148438,635.51397705078,1243
16,-6125.669921875,1641.8000488281,1244
17,-7615.8999023438,610.28002929688,1248
18,-7397.0498046875,2890.5500488281,1247
19,-3389.2399902344,5544.2998046875,1258
20,-2986.5300292969,6603.4702148438,1256
21,-1079.9599609375,7524.1201171875,1259
22,-1646.0400390625,6990.7700195312,1257
23,-1658.5,5317,1255
24,-2431.4499511719,8189.3901367188,1260
