ID,Colors0_r,Colors0_g,Colors0_b,Colors1_r,Colors1_g,Colors1_b,Colors2_r,Colors2_g,Colors2_b,Alpha1,Alpha2,EdgeColor_r,EdgeColor_g,EdgeColor_b,Field_8_1_0_28440_014,Field_8_1_0_28440_015,Field_10_0_5_47118_016,Field_10_0_5_47118_017
1,0.10588236153,0.16470588744,0.27058824897,0.53333336115,0.70196080208,0.73333334923,1,1,1,0.5,1,1,1,1,1,3,0,0
5,0.10588236153,0.16470588744,0.27058824897,0.38039219379,0.65098041296,0.70588237047,1,1,1,0.5,1,1,1,1,1,2,0,0
6,0.21176472306,0.10588236153,0.27058824897,0.6901960969,0.53333336115,0.73333334923,1,1,1,0.5,1,1,1,1,1,2,0,0
7,0,0.08627451211,0.21960785985,0.07058823854,0.65490198135,0.76862752438,1,1,1,0.5,0.89999997616,1,1,1,20,2,0,0
10,0.44705885649,0,0.60784316063,0.52941179276,0.77254909277,0.83529418707,1,1,1,0.5,1,1,0.5607843399,0.98431378603,1,0,0,0
11,0.44705885649,0,0.60784316063,0.52941179276,0.77254909277,0.83529418707,1,1,1,0.5,1,1,0.5607843399,0.98431378603,1,3,0,0
14,0,0,0,0.13725490868,0.501960814,0.46666669846,1,1,1,0.5,0.89999997616,1,1,1,20,2,0,0
15,0,0.21960785985,0.03529411927,0.07058823854,0.76862752438,0.18431372941,1,1,1,0.5,0.89999997616,1,1,1,1,0,0,0
19,0,0,0,0,0.81176477671,0.48627454042,1,1,1,0.5,0.89999997616,1,1,1,1,0,0,0
20,0.01568627544,0.01176470704,0.18039216101,0.32549020648,0.49411767721,0.70588237047,1,1,1,0.5,0.89999997616,1,1,1,20,2,0,0
21,0,0,0,0.09019608051,0.81176477671,0.52156865597,1,1,1,0.5,0.89999997616,1,1,1,20,2,0,0
23,0.15686275065,0.05098039657,0.23137256503,0.22745099664,0.06274510175,0.34901961684,0.53725492954,0,1,0.60000002384,1,0.79607850313,0.31764706969,1,0,0,0,0
25,0.39215689898,0,0,0.54117649794,0.05490196496,0.05490196496,0.96862751245,0.6235294342,0.6235294342,0.5,1,1,0,0,1,0,0,0
26,1,0.99607849121,0.58431375027,1,0.98039221764,0,1,0.96078437567,0.30588236451,0.5,1,1,0.98039221764,0.79215693474,20,3,0,0
30,0,0,0,0.07058823854,0.76862752438,0.08627451211,1,1,1,0.5,0.20000000298,0.05098039657,0.34117648005,0,10,3,0,0
31,0,0,0,0.54509806633,1,1,1,1,1,0.5,0.20000000298,0.07843137532,0.21568629146,0.24705883861,10,3,0,0
34,0,0,0,0.03529411927,0,0.48235297203,0,0,0,0.75,1,0,0,0,20,2,0,0
36,0.26274511218,0.36470589042,0.52941179276,0.6274510026,0.84705889225,1,1,1,1,0.5,1,1,1,1,0,0,0,0
38,0.23137256503,0.10588236153,0.27058824897,0.73333334923,0.33333334327,0.85882359743,1,1,1,0.5,1,1,1,1,1,2,0,0
39,0.27058824897,0.10588236153,0.10588236153,0.85882359743,0.33333334327,0.33333334327,1,1,1,0.5,1,1,1,1,1,2,0,0
40,0,0,0,0.00392156886,0,0.26666668057,0,0.16470588744,1,0.5,0.60000002384,0,0.01176470704,1,0,2,0,0
41,0.15686275065,0.05098039657,0.23137256503,0.22745099664,0.06274510175,0.34901961684,0.39607846737,0.05098039657,0.69803923368,0.60000002384,1,1,1,1,0,0,0,0
47,0.10588236153,0.16470588744,0.27058824897,0.32549020648,0.5607843399,0.1882353127,1,1,1,0.5,1,1,1,1,3,2,0,0
48,0,0,0,0.52156865597,0.52156865597,0.52156865597,0.36862745881,0.36862745881,0.36862745881,0.5,1,0.10196079314,0.76862752438,1,0,0,0,0
50,0,0,0,0.52156865597,0.52156865597,0.52156865597,0.36862745881,0.36862745881,0.36862745881,0.5,1,0.94509810209,1,0.10196079314,0,0,0,0
