ID,Field_12_0_0_63534_000,Field_12_0_0_63534_001,HouseThemeID,TextureAFileDataID,TextureBFileDataID
276,5235394728480893495,0,6,5658169,0
277,5235394728480893495,0,20,5658169,5658169
278,5235394728480893495,0,7,5658169,5658169
279,2906876479718359642,0,6,5658170,0
280,2906876479718359642,0,20,5658170,5658170
281,2906876479718359642,0,7,5658170,5658170
282,2202902440920951891,0,6,5658168,0
283,2202902440920951891,0,20,5658168,5658168
284,2202902440920951891,0,7,5658168,5658168
285,2163196650997800641,0,6,6125277,0
286,2163196650997800641,0,20,6125277,6125303
287,2163196650997800641,0,7,6125277,6234498
288,2163196650997800641,1,6,6125278,0
289,2163196650997800641,1,20,6125278,6125304
290,2163196650997800641,1,7,6125278,6125330
291,2163196650997800641,2,6,6125279,0
292,2163196650997800641,2,20,6125279,6125305
293,2163196650997800641,2,7,6125279,6125331
294,2163196650997800641,3,6,6125299,0
295,2163196650997800641,3,20,6125299,6125325
296,2163196650997800641,3,7,6125299,6125351
297,2163201049044313485,0,6,6125280,0
298,2163201049044313485,0,20,6125280,6125306
299,2163201049044313485,0,7,6125280,6125332
300,2163201049044313485,1,6,6125281,0
301,2163201049044313485,1,20,6125281,6125307
302,2163201049044313485,1,7,6125281,6125333
303,2163201049044313485,2,6,6125279,0
304,2163201049044313485,2,20,6125279,6125305
305,2163201049044313485,2,7,6125279,6125331
306,2163194451974544219,0,6,6125282,0
307,2163194451974544219,0,20,6125282,6125308
308,2163194451974544219,0,7,6125282,6125334
309,2163194451974544219,1,6,6125283,0
310,2163194451974544219,1,20,6125283,6125309
311,2163194451974544219,1,7,6125283,6125335
312,2163194451974544219,2,6,6125279,0
313,2163194451974544219,2,20,6125279,6125305
314,2163194451974544219,2,7,6125279,6125331
315,-8996265621331346570,0,6,6125301,0
316,-8996265621331346570,0,20,6125301,6125327
317,-8996265621331346570,0,7,6125301,6125353
318,-8996265621331346570,1,6,6125302,0
319,-8996265621331346570,1,20,6125302,6125328
320,-8996265621331346570,1,7,6125302,6125354
321,-8996265621331346570,2,6,6125291,0
322,-8996265621331346570,2,20,6125291,6125317
323,-8996265621331346570,2,7,6125291,6125343
324,-8996265621331346570,3,6,6125279,0
325,-8996265621331346570,3,20,6125279,6125305
326,-8996265621331346570,3,7,6125279,6125331
327,2445789800307233535,0,6,6125280,0
328,2445789800307233535,0,20,6125280,6125306
329,2445789800307233535,0,7,6125280,6125332
330,2445789800307233535,1,6,6125281,0
331,2445789800307233535,1,20,6125281,6125307
332,2445789800307233535,1,7,6125281,6125333
333,2445789800307233535,2,6,6125294,0
334,2445789800307233535,2,20,6125294,6125320
335,2445789800307233535,2,7,6125294,6125346
336,2445789800307233535,3,6,6125295,0
337,2445789800307233535,3,20,6125295,6125321
338,2445789800307233535,3,7,6125295,6125347
339,481376406106055472,0,6,6125297,0
340,481376406106055472,0,20,6125297,6125323
341,481376406106055472,0,7,6125297,6125349
342,481376406106055472,1,6,6125298,0
343,481376406106055472,1,20,6125298,6125324
344,481376406106055472,1,7,6125298,6125350
345,481376406106055472,2,6,6125279,0
346,481376406106055472,2,20,6125279,6125305
347,481376406106055472,2,7,6125279,6125331
348,481376406106055472,3,6,6125299,0
349,481376406106055472,3,20,6125299,6125325
350,481376406106055472,3,7,6125299,6125351
351,480392343198995852,0,6,6125292,0
352,480392343198995852,0,20,6125292,6125318
353,480392343198995852,0,7,6125292,6125344
354,480392343198995852,1,6,6125295,0
355,480392343198995852,1,20,6125295,6125321
356,480392343198995852,1,7,6125295,6125347
357,480392343198995852,2,6,6125299,0
358,480392343198995852,2,20,6125299,6125325
359,480392343198995852,2,7,6125299,6125351
360,480395641733880485,0,6,6125280,0
361,480395641733880485,0,20,6125280,6125306
362,480395641733880485,0,7,6125280,6125332
363,480395641733880485,1,6,6125281,0
364,480395641733880485,1,20,6125281,6125307
365,480395641733880485,1,7,6125281,6125333
366,480387945152483008,0,6,6234490,0
367,480387945152483008,0,20,6234490,6234494
368,480387945152483008,0,7,6234490,6234499
369,480387945152483008,1,6,6234491,0
370,480387945152483008,1,20,6234491,6234495
371,480387945152483008,1,7,6234491,6234500
372,480387945152483008,2,6,6125279,0
373,480387945152483008,2,20,6125279,6125305
374,480387945152483008,2,7,6125279,6125331
375,468984910058577427,0,6,6234492,0
376,468984910058577427,0,20,6234492,6234496
