Level	Health
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	2
11	2
12	2
13	3
14	3
15	3
16	4
17	4
18	5
19	5
20	5
21	6
22	6
23	6
24	7
25	7
26	7
27	7
28	7
29	8
30	8
31	8
32	8
33	8
34	8
35	8
36	8
37	8
38	8
39	8
40	8
41	8
42	9
43	9
44	9
45	9
46	9
47	9
48	9
49	9
50	9
51	9
52	9
53	10
54	10
55	10
56	10
57	10
58	10
59	10
60	11
61	11
62	11
63	11
64	12
65	12
66	12
67	12
68	13
69	13
70	13
71	16
72	16
73	17
74	17
75	18
76	18
77	19
78	19
79	20
80	20
81	20
82	20
83	20
84	20
85	20
86	20
87	20
88	20
89	20
90	20
91	20
92	20
93	20
94	20
95	20
96	20
97	20
98	20
99	20
100	20
101	20
102	20
103	20
104	20
105	20
106	20
107	20
108	20
109	20
110	20
111	20
112	20
113	20
114	20
115	20
116	20
117	20
118	20
119	20
120	20
121	20
122	20
123	20
