ID,ClothModifier,LeatherModifier,ChainModifier,PlateModifier
1,1.30999994278,1.30999994278,1.30999994278,1.30999994278
2,0.75,0.75,0.75,0.75
4,0,0,0,0
5,1.75,1.75,1.75,1.75
6,0.87999999523,0.87999999523,0.87999999523,0.87999999523
11,1.10000002384,1.10000002384,1.10000002384,1.10000002384
12,1.5,1.5,1.5,1.5
24,1.75,1.30999994278,1.30999994278,1.75
3,1.30999994278,1.30999994278,1.30999994278,1.30999994278
8,1.30999994278,1.30999994278,1.30999994278,1.30999994278
16,1.30999994278,1.30999994278,1.30999994278,1.30999994278
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
7,1.75,1.75,1.75,1.75
9,0.87999999523,0.87999999523,0.87999999523,0.87999999523
10,0.87999999523,0.87999999523,0.87999999523,0.87999999523
23,1.5,1.5,1.5,1.5
25,1.75,1.30999994278,1.30999994278,1.75
26,1.75,1.30999994278,1.30999994278,1.75
27,1.75,1.30999994278,1.30999994278,1.75
