TaskName_lang,Description_lang,ID,CriteriaTreeID,Field_12_0_0_63534_004,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
"Tiger Test Task","Drink 3 Pearl Milk Tea",1,209990,92334,100,87592,0,1
"Tiger Test Task 2","Eat 3 Juicy Bear Burger",2,214862,92334,300,0,0,0
"Kill Bloodscale Naga","Kill 20 Bloodscale Naga",3,210311,91023,300,87592,0,1
"Kill Daggerfen Broken","Kill 20 Daggerfen Broken",4,0,90996,300,87592,0,1
"Collect 30 Mature Spore Sacs","Collect 30 Mature Spore Sacs in Zangarmarsh",5,210334,91024,300,87592,0,1
"Collect 18 Bog Lord Tendrils","Collect 18 Bog Lord Tendrils in Zangarmarsh",6,210336,91023,300,87592,0,1
"Collect 20 Glowcaps","Collect 20 Glowcaps in Zangarmarsh",7,210338,91024,300,87592,0,1
"Collect 15 Fertile Spores","Collect 15 Fertile Spores in Zangarmarsh",8,210340,91023,300,87592,0,1
"Collect 10 Sanguine Hisbiscus","Collect 10 Sanguine Hisbiscus from the Underbog",9,210344,91023,300,87592,0,1
"Complete 5 Dungeons in Zangarmarsh","Complete 5 Dungeons in Zangarmarsh",10,210346,91022,300,87592,0,1
"Complete 5 Daily Quests in Sporeggar","Complete 5 Daily Quests in Sporeggar",11,210360,91023,300,87592,0,1
"Complete Serpentshrine Cavern","Complete Serpentshrine Cavern",12,210366,91022,300,87592,0,1
"Collect 20 Lumber in Zangarmarsh","Collect 20 Lumber in Zangarmarsh",13,210389,91024,300,87592,0,1
"Catch 20 Fish in Zangarmarsh","Catch 20 Fish in Zangarmarsh",14,210391,91024,300,87592,0,1
"Harvest 20 Ore in Zangarmarsh","Harvest 20 Ore in Zangarmarsh",15,210396,91024,300,87592,0,1
"Harvest 20 Herbs in Zangarmarsh","Harvest 20 Herbs in Zangarmarsh",16,210400,91024,300,87592,0,1
"Harvest 20 Leather or Scales in Zangarmarsh","Harvest 20 Leather or Scales in Zangarmarsh",17,210405,91024,300,87592,0,1
"Pat 10 Visiting Sporeggarians on the Head","Pat 10 Visiting Sporeggarians on the Head in your Neighborhood",18,210410,91024,300,87592,0,0
"Collect 20 Glowcaps in the Neighborhood","Collect 20 Glowcaps in the Neighborhood",19,210412,91024,300,87592,0,1
"Spread Glow Cap Spores in Fertile Soil","Spread Glow Cap Spores in Fertile Soil in the Neighborhood",20,210420,91024,300,87592,0,0
"Catch 30 Fish in the Neighborhood","Catch 30 Fish in the Neighborhood",21,210416,91024,300,87592,0,1
