Name_lang,IconLocation_0,IconLocation_1,ID,WorldStateID,UiTextureAtlasMemberID,ScenarioID,WorldQuestID,WorldStateValue,InvasionEnabledWorldStateID,AreaTableID
"Legion Invasion: Northern Barrens",0.53500002623,0.51999998093,3,11325,5006,907,43282,1,10063,17
"Legion Invasion: Westfall",0.41499999166,0.80000001192,4,11331,5006,897,43245,1,10063,40
"Legion Invasion: Tanaris",0.55500000715,0.85000002384,5,11333,5006,806,43244,1,10063,440
"Legion Invasion: Dun Morogh",0.45500001311,0.61500000954,6,11326,5006,959,43284,1,10063,1
"Legion Invasion: Hillsbrad",0.46500000358,0.41999998689,7,11330,5006,916,43285,1,10063,267
"Legion Invasion: Azshara",0.61000001431,0.38999998569,8,11327,5006,958,43301,1,10063,16
"Invasion Point: Aurinor",0.41499999166,0.80000001192,10,14061,5006,1391,48982,1,14328,9100
"Invasion Point: Val",0.41499999166,0.80000001192,11,14062,5006,1406,49091,1,14328,9127
"Invasion Point: Naigtal",0.41499999166,0.80000001192,12,14060,5006,1411,49096,1,14328,9102
"Invasion Point: Sangua",0.41499999166,0.80000001192,13,14065,5006,1394,49097,1,14328,9128
"Invasion Point: Cen'gar",0.41499999166,0.80000001192,14,14064,5006,1404,49098,1,14328,9126
"Invasion Point: Bonich",0.41499999166,0.80000001192,15,14063,5006,1409,49099,1,14328,9180
"Greater Invasion Point: Matron Folnuna",0.41499999166,0.80000001192,16,14252,5006,1412,49199,1,14328,9295
"Greater Invasion Point: Sotanathor",0.41499999166,0.80000001192,17,14253,5006,1418,49197,1,14328,9299
"Greater Invasion Point: Inquisitor Meto",0.41499999166,0.80000001192,18,14248,5006,1420,49198,1,14328,9297
"Greater Invasion Point: Mistress Alluradel",0.41499999166,0.80000001192,19,14251,5006,1422,48620,1,14328,9300
"Greater Invasion Point: Occularus",0.41499999166,0.80000001192,20,14250,5006,1419,49195,1,14328,9298
"Greater Invasion Point: Pit Lord Vilemus",0.41499999166,0.80000001192,21,14249,5006,1421,49196,1,14328,9296
"Invasion Point: Cen'gar",0.41499999166,0.80000001192,22,14243,5006,1404,49098,1,14328,9126
"Invasion Point: Aurinor",0.41499999166,0.80000001192,23,14246,5006,1391,48982,1,14328,9100
"Invasion Point: Val",0.41499999166,0.80000001192,24,14245,5006,1406,49091,1,14328,9127
"Invasion Point: Naigtal",0.41499999166,0.80000001192,25,14247,5006,1411,49096,1,14328,9102
"Invasion Point: Sangua",0.41499999166,0.80000001192,26,14242,5006,1394,49097,1,14328,9128
"Invasion Point: Bonich",0.41499999166,0.80000001192,27,14244,5006,1409,49099,1,14328,9180
"The Storm's Fury",0,0,130,22894,17396,2139,74378,1,23133,13992
