ID,OverrideCelestialSphere_0,OverrideCelestialSphere_1,OverrideCelestialSphere_2,OverrideSunPosition_0,OverrideSunPosition_1,OverrideSunPosition_2,HighlightSky,LightSkyboxID,CloudTypeID,Glow,WaterShallowAlpha,WaterDeepAlpha,OceanShallowAlpha,OceanDeepAlpha,Flags,SsaoSettingsID,SunPolar,SunAzimuth,SunAttenuationStart,SunAttenuationEnd,Field_12_0_0_63534_016,Field_12_0_0_63534_017,Field_12_0_0_63534_018,Field_12_0_0_63534_019,Field_12_0_0_63534_020,Field_12_0_0_63534_021,Field_12_0_0_63534_022,Field_12_0_0_63534_023,Field_12_0_0_63534_024,Field_12_0_0_63534_025,Field_12_0_0_63534_026,Field_12_0_0_63534_027,Field_12_0_0_63534_028,Field_12_0_0_63534_029,Field_12_0_1_65617_030,Field_12_0_1_65617_031
1,0,0,0,0,0,0,0,81,0,0.20000000298,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0.69999998808
2,0,0,0,0,0,0,0,81,0,0.40000000596,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
3,0,0,0,0,0,0,0,81,0,0.60000002384,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
4,0,0,0,0,0,0,0,81,0,0.80000001192,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
5,0,0,0,0,0,0,0,81,0,1,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
6,0,0,0,0,0,0,0,0,0,0.64999997616,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
8,0,0,0,0,0,0,1,105,0,0.5,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
9,0,0,0,0,0,0,1,0,0,0.80000001192,0.20000000298,0.10000000149,0.10000000149,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
10,0,0,0,0,0,0,0,0,0,0.10000000149,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
11,0,0,0,0,0,0,1,0,0,0.5,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
12,0,0,0,0,0,0,1,0,0,0.40000000596,0.5,1,0.64999997616,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
13,0,0,0,0,0,0,0,0,0,1,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
14,0,0,0,0,0,0,0,0,0,0.20000000298,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
16,0,0,0,0,0,0,0,0,0,0.85000002384,0.5,1,0.5,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
17,0,0,0,0,0,0,0,0,0,0.20000000298,0.40000000596,0.80000001192,0.60000002384,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
18,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
19,0,0,0,0,0,0,0,0,0,0.60000002384,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
23,0,0,0,0,0,0,0,0,0,0.89999997616,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
26,0,0,0,0,0,0,0,0,0,0.5,0.40000000596,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
28,0,0,0,0,0,0,0,0,0,0.30000001192,0.5,1,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
29,0,0,0,0,0,0,0,0,0,0.5,0.40000000596,0.80000001192,0.69999998808,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
30,0,0,0,0,0,0,0,0,0,0.40000000596,0.34999999404,0.64999997616,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0.34999999404,1,0.69999998808
