ID,Param_0,Param_1,Param_2,Param_3,InputType,MapType,OutputType
65,5,30,0.69999998808,1.29999995232,1,1,1
123,5,30,1,1.29999995232,1,1,1
121,5,30,0.69999998808,1.29999995232,1,1,1
124,5,30,0.69999998808,1.29999995232,1,1,1
141,5,30,0.69999998808,1.29999995232,1,1,1
161,5,30,0.69999998808,1.29999995232,1,1,1
181,5,30,0.69999998808,1.29999995232,1,1,1
182,5,30,0.69999998808,1.29999995232,1,1,1
184,5,30,0.69999998808,1.29999995232,1,1,1
201,5,30,0.69999998808,1.29999995232,1,1,1
202,5,30,0.69999998808,1.29999995232,1,1,1
267,5,30,0.69999998808,1.29999995232,1,1,1
371,5,30,0.69999998808,1.29999995232,1,1,1
373,5,30,0.69999998808,1.29999995232,1,1,1
