ID,Pos_0,Pos_1,Pos_2,Rot_0,Rot_1,Rot_2,MapID
189266,2087,-300,500,0,0,0,603
189267,2531,-288,500,0,0,0,603
189268,2531,-288,-2000,0,0,0,603
189269,2087,-300,-2000,0,0,0,603
189270,2087,300,500,0,0,0,603
189271,2538,212,500,0,0,0,603
189272,2538,212,-2000,0,0,0,603
189273,2087,300,-2000,0,0,0,603
189697,298.34698486328,6122.5400390625,124,0,0,0,530
189698,236.6309967041,6101.0600585938,124,0,0,0,530
189699,221.56100463867,6027.5400390625,124,0,0,0,530
189700,227.21800231934,5996.1201171875,124,0,0,0,530
189701,292.19900512695,5971.6801757812,124,0,0,0,530
189702,352.90100097656,6017.669921875,124,0,0,0,530
189703,350.71499633789,6078.740234375,124,0,0,0,530
189704,5567.66015625,714.34002685547,596.67999267578,0,0,0,571
189705,5605.3198242188,394.26000976563,596.67999267578,0,0,0,571
189706,5888.740234375,382.14001464844,596.67999267578,0,0,0,571
189707,6026.9799804688,494.67001342773,596.67999267578,0,0,0,571
189708,6051.1201171875,634.17999267578,596.67999267578,0,0,0,571
189709,5952.5400390625,849.71002197266,596.67999267578,0,0,0,571
189710,5793.6098632812,991.53997802734,596.67999267578,0,0,0,571
189711,5582.0600585938,799.39001464844,596.67999267578,0,0,0,571
189712,5634.5,419,630.40002441406,0,0,0,571
189713,5612.5698242188,814,630.40002441406,0,0,0,571
189714,5810.1899414062,953.83001708984,630.40002441406,0,0,0,571
189715,5955.669921875,785.40002441406,630.40002441406,0,0,0,571
189716,6025.9301757812,545.39001464844,630.40002441406,0,0,0,571
189717,5817.91015625,394.35000610352,630.40002441406,0,0,0,571
189718,5892.490234375,627.29998779297,620,0,0,0,571
189719,5892.490234375,627.29998779297,664,0,0,0,571
189720,5990.5,557.70001220703,664,0,0,0,571
189721,5990.5,557.70001220703,620,0,0,0,571
189722,5847,539,620,0,0,0,571
189723,5847,539,685,0,0,0,571
189724,5800,526,685,0,0,0,571
189725,5800,526,620,0,0,0,571
189726,5827.3901367188,603.34997558594,620.34002685547,0,0,0,571
189727,5827.3901367188,603.34997558594,679.34002685547,0,0,0,571
189728,5786.0600585938,590.07000732422,678.05999755859,0,0,0,571
189729,5786.0600585938,590.07000732422,620.05999755859,0,0,0,571
189730,5730.990234375,679.30999755859,620.76000976563,0,0,0,571
189731,5730.990234375,679.30999755859,670.76000976563,0,0,0,571
189732,5679.8701171875,720.15002441406,670.76000976563,0,0,0,571
189733,5679.8701171875,720.15002441406,620.76000976563,0,0,0,571
189734,5774.5,655.42999267578,620.15002441406,0,0,0,571
189735,5774.5,655.42999267578,661.15002441406,0,0,0,571
189736,5762.919921875,611.92999267578,661.15002441406,0,0,0,571
189737,5762.919921875,611.92999267578,620.15002441406,0,0,0,571
189738,5784.6499023438,664.96997070313,620.02001953125,0,0,0,571
