ID,EpicF_0,EpicF_1,SuperiorF_0,SuperiorF_1,GoodF_0,GoodF_1,Epic_0,Epic_1,Superior_0,Superior_1,Good_0,Good_1
1,2156.8198242188,1725.4558105469,2156.8198242188,1725.4558105469,2156.8198242188,1725.4558105469,2156,1725,2156,1725,2156,1725
2,2183.7800292969,1747.0239257812,2183.7800292969,1747.0239257812,2183.7800292969,1747.0239257812,2183,1747,2183,1747,2183,1747
3,2211.0771484375,1768.8618164062,2211.0771484375,1768.8618164062,2211.0771484375,1768.8618164062,2211,1768,2211,1768,2211,1768
4,2238.7155761719,1790.9725341797,2238.7155761719,1790.9725341797,2238.7155761719,1790.9725341797,2238,1790,2238,1790,2238,1790
5,2266.6997070312,1813.3597412109,2266.6997070312,1813.3597412109,2266.6997070312,1813.3597412109,2266,1813,2266,1813,2266,1813
6,2295.0334472656,1836.0267333984,2295.0334472656,1836.0267333984,2295.0334472656,1836.0267333984,2295,1836,2295,1836,2295,1836
7,2323.7211914062,1858.9770507812,2323.7211914062,1858.9770507812,2323.7211914062,1858.9770507812,2323,1858,2323,1858,2323,1858
8,2352.7678222656,1882.2142333984,2352.7678222656,1882.2142333984,2352.7678222656,1882.2142333984,2352,1882,2352,1882,2352,1882
9,2382.1774902344,1905.7419433594,2382.1774902344,1905.7419433594,2382.1774902344,1905.7419433594,2382,1905,2382,1905,2382,1905
10,2411.9545898438,1929.5637207031,2411.9545898438,1929.5637207031,2411.9545898438,1929.5637207031,2411,1929,2411,1929,2411,1929
11,2442.1040039062,1953.6832275391,2442.1040039062,1953.6832275391,2442.1040039062,1953.6832275391,2442,1953,2442,1953,2442,1953
12,2472.6303710938,1978.1042480469,2472.6303710938,1978.1042480469,2472.6303710938,1978.1042480469,2472,1978,2472,1978,2472,1978
13,2503.5383300781,2002.8305664062,2503.5383300781,2002.8305664062,2503.5383300781,2002.8305664062,2503,2002,2503,2002,2503,2002
14,2534.8325195312,2027.8659667969,2534.8325195312,2027.8659667969,2534.8325195312,2027.8659667969,2534,2027,2534,2027,2534,2027
15,2566.5178222656,2053.2143554688,2566.5178222656,2053.2143554688,2566.5178222656,2053.2143554688,2566,2053,2566,2053,2566,2053
16,2598.5993652344,2078.8793945312,2598.5993652344,2078.8793945312,2598.5993652344,2078.8793945312,2598,2078,2598,2078,2598,2078
17,2631.0817871094,2104.8654785156,2631.0817871094,2104.8654785156,2631.0817871094,2104.8654785156,2631,2104,2631,2104,2631,2104
18,2663.9702148438,2131.1762695312,2663.9702148438,2131.1762695312,2663.9702148438,2131.1762695312,2663,2131,2663,2131,2663,2131
19,2697.2700195312,2157.8159179688,2697.2700195312,2157.8159179688,2697.2700195312,2157.8159179688,2697,2157,2697,2157,2697,2157
20,2730.9858398438,2184.7885742188,2730.9858398438,2184.7885742188,2730.9858398438,2184.7885742188,2730,2184,2730,2184,2730,2184
21,2765.123046875,2212.0986328125,2765.123046875,2212.0986328125,2765.123046875,2212.0986328125,2765,2212,2765,2212,2765,2212
22,2799.6872558594,2239.7497558594,2799.6872558594,2239.7497558594,2799.6872558594,2239.7497558594,2799,2239,2799,2239,2799,2239
23,2834.6833496094,2267.7465820312,2834.6833496094,2267.7465820312,2834.6833496094,2267.7465820312,2834,2267,2834,2267,2834,2267
24,2870.1169433594,2296.0935058594,2870.1169433594,2296.0935058594,2870.1169433594,2296.0935058594,2870,2296,2870,2296,2870,2296
25,2905.9934082031,2324.7946777344,2905.9934082031,2324.7946777344,2905.9934082031,2324.7946777344,2905,2324,2905,2324,2905,2324
26,2942.3181152344,2353.8544921875,2942.3181152344,2353.8544921875,2942.3181152344,2353.8544921875,2942,2353,2942,2353,2942,2353
27,2979.0971679688,2383.2778320312,2979.0971679688,2383.2778320312,2979.0971679688,2383.2778320312,2979,2383,2979,2383,2979,2383
28,3016.3359375,2413.0686035156,3016.3359375,2413.0686035156,3016.3359375,2413.0686035156,3016,2413,3016,2413,3016,2413
29,3054.0400390625,2443.2321777344,3054.0400390625,2443.2321777344,3054.0400390625,2443.2321777344,3054,2443,3054,2443,3054,2443
30,3092.2155761719,2473.7724609375,3092.2155761719,2473.7724609375,3092.2155761719,2473.7724609375,3092,2473,3092,2473,3092,2473
31,3130.8684082031,2504.6945800781,3130.8684082031,2504.6945800781,3130.8684082031,2504.6945800781,3130,2504,3130,2504,3130,2504
32,3170.0041503906,2536.0034179688,3170.0041503906,2536.0034179688,3170.0041503906,2536.0034179688,3170,2536,3170,2536,3170,2536
33,3209.6291503906,2567.7033691406,3209.6291503906,2567.7033691406,3209.6291503906,2567.7033691406,3209,2567,3209,2567,3209,2567
34,3249.7495117188,2599.7995605469,3249.7495117188,2599.7995605469,3249.7495117188,2599.7995605469,3249,2599,3249,2599,3249,2599
35,3290.3713378906,2632.2971191406,3290.3713378906,2632.2971191406,3290.3713378906,2632.2971191406,3290,2632,3290,2632,3290,2632
36,3331.5009765625,2665.2009277344,3331.5009765625,2665.2009277344,3331.5009765625,2665.2009277344,3331,2665,3331,2665,3331,2665
37,3373.1447753906,2698.5158691406,3373.1447753906,2698.5158691406,3373.1447753906,2698.5158691406,3373,2698,3373,2698,3373,2698
38,3415.3090820312,2732.2473144531,3415.3090820312,2732.2473144531,3415.3090820312,2732.2473144531,3415,2732,3415,2732,3415,2732
39,3458.0004882812,2766.400390625,3458.0004882812,2766.400390625,3458.0004882812,2766.400390625,3458,2766,3458,2766,3458,2766
40,3501.2255859375,2800.98046875,3501.2255859375,2800.98046875,3501.2255859375,2800.98046875,3501,2800,3501,2800,3501,2800
41,3544.9909667969,2835.9926757812,3544.9909667969,2835.9926757812,3544.9909667969,2835.9926757812,3544,2835,3544,2835,3544,2835
42,3589.3032226562,2871.4426269531,3589.3032226562,2871.4426269531,3589.3032226562,2871.4426269531,3589,2871,3589,2871,3589,2871
43,3634.1694335938,2907.3356933594,3634.1694335938,2907.3356933594,3634.1694335938,2907.3356933594,3634,2907,3634,2907,3634,2907
44,3679.5966796875,2943.6772460938,3679.5966796875,2943.6772460938,3679.5966796875,2943.6772460938,3679,2943,3679,2943,3679,2943
45,3725.5915527344,2980.4733886719,3725.5915527344,2980.4733886719,3725.5915527344,2980.4733886719,3725,2980,3725,2980,3725,2980
46,3772.1613769531,3017.7292480469,3772.1613769531,3017.7292480469,3772.1613769531,3017.7292480469,3772,3017,3772,3017,3772,3017
47,3819.3134765625,3055.4509277344,3819.3134765625,3055.4509277344,3819.3134765625,3055.4509277344,3819,3055,3819,3055,3819,3055
48,3867.0549316406,3093.6440429688,3867.0549316406,3093.6440429688,3867.0549316406,3093.6440429688,3867,3093,3867,3093,3867,3093
49,3915.3930664062,3132.314453125,3915.3930664062,3132.314453125,3915.3930664062,3132.314453125,3915,3132,3915,3132,3915,3132
50,3964.3354492188,3171.4685058594,3964.3354492188,3171.4685058594,3964.3354492188,3171.4685058594,3964,3171,3964,3171,3964,3171
51,4013.8896484375,3211.1118164062,4013.8896484375,3211.1118164062,4013.8896484375,3211.1118164062,4013,3211,4013,3211,4013,3211
52,4064.0632324219,3251.2507324219,4064.0632324219,3251.2507324219,4064.0632324219,3251.2507324219,4064,3251,4064,3251,4064,3251
53,4114.8642578125,3291.8913574219,4114.8642578125,3291.8913574219,4114.8642578125,3291.8913574219,4114,3291,4114,3291,4114,3291
54,4166.2998046875,3333.0400390625,4166.2998046875,3333.0400390625,4166.2998046875,3333.0400390625,4166,3333,4166,3333,4166,3333
55,4218.37890625,3374.7028808594,4218.37890625,3374.7028808594,4218.37890625,3374.7028808594,4218,3374,4218,3374,4218,3374
56,4271.1083984375,3416.88671875,4271.1083984375,3416.88671875,4271.1083984375,3416.88671875,4271,3416,4271,3416,4271,3416
57,4324.4970703125,3459.5979003906,4324.4970703125,3459.5979003906,4324.4970703125,3459.5979003906,4324,3459,4324,3459,4324,3459
58,4378.5537109375,3502.8427734375,4378.5537109375,3502.8427734375,4378.5537109375,3502.8427734375,4378,3502,4378,3502,4378,3502
59,4433.2856445312,3546.6284179688,4433.2856445312,3546.6284179688,4433.2856445312,3546.6284179688,4433,3546,4433,3546,4433,3546
60,4488.7016601562,3590.9611816406,4488.7016601562,3590.9611816406,4488.7016601562,3590.9611816406,4488,3590,4488,3590,4488,3590
61,4544.8100585938,3635.8481445312,4544.8100585938,3635.8481445312,4544.8100585938,3635.8481445312,4544,3635,4544,3635,4544,3635
62,4601.6206054688,3681.2963867188,4601.6206054688,3681.2963867188,4601.6206054688,3681.2963867188,4601,3681,4601,3681,4601,3681
63,4659.140625,3727.3125,4659.140625,3727.3125,4659.140625,3727.3125,4659,3727,4659,3727,4659,3727
64,4717.3798828125,3773.9038085938,4717.3798828125,3773.9038085938,4717.3798828125,3773.9038085938,4717,3773,4717,3773,4717,3773
65,4776.3471679688,3821.0776367188,4776.3471679688,3821.0776367188,4776.3471679688,3821.0776367188,4776,3821,4776,3821,4776,3821
66,4836.0512695312,3868.8410644531,4836.0512695312,3868.8410644531,4836.0512695312,3868.8410644531,4836,3868,4836,3868,4836,3868
67,4896.501953125,3917.2016601562,4896.501953125,3917.2016601562,4896.501953125,3917.2016601562,4896,3917,4896,3917,4896,3917
68,4957.7084960938,3966.1667480469,4957.7084960938,3966.1667480469,4957.7084960938,3966.1667480469,4957,3966,4957,3966,4957,3966
69,5019.6796875,4015.7438964844,5019.6796875,4015.7438964844,5019.6796875,4015.7438964844,5019,4015,5019,4015,5019,4015
70,5082.42578125,4065.9406738281,5082.42578125,4065.9406738281,5082.42578125,4065.9406738281,5082,4065,5082,4065,5082,4065
71,5145.9560546875,4116.7646484375,5145.9560546875,4116.7646484375,5145.9560546875,4116.7646484375,5145,4116,5145,4116,5145,4116
72,5210.2807617188,4168.224609375,5210.2807617188,4168.224609375,5210.2807617188,4168.224609375,5210,4168,5210,4168,5210,4168
73,5275.4091796875,4220.3271484375,5275.4091796875,4220.3271484375,5275.4091796875,4220.3271484375,5275,4220,5275,4220,5275,4220
74,5341.3515625,4273.0815429688,5341.3515625,4273.0815429688,5341.3515625,4273.0815429688,5341,4273,5341,4273,5341,4273
75,5408.1186523438,4326.4946289062,5408.1186523438,4326.4946289062,5408.1186523438,4326.4946289062,5408,4326,5408,4326,5408,4326
76,5475.7202148438,4380.576171875,5475.7202148438,4380.576171875,5475.7202148438,4380.576171875,5475,4380,5475,4380,5475,4380
77,5544.1665039062,4435.3330078125,5544.1665039062,4435.3330078125,5544.1665039062,4435.3330078125,5544,4435,5544,4435,5544,4435
78,5613.46875,4490.7749023438,5613.46875,4490.7749023438,5613.46875,4490.7749023438,5613,4490,5613,4490,5613,4490
79,5683.63671875,4546.9096679688,5683.63671875,4546.9096679688,5683.63671875,4546.9096679688,5683,4546,5683,4546,5683,4546
80,5754.6826171875,4603.74609375,5754.6826171875,4603.74609375,5754.6826171875,4603.74609375,5754,4603,5754,4603,5754,4603
81,5826.6157226562,4661.29296875,5826.6157226562,4661.29296875,5826.6157226562,4661.29296875,5826,4661,5826,4661,5826,4661
82,5899.4487304688,4719.5590820312,5899.4487304688,4719.5590820312,5899.4487304688,4719.5590820312,5899,4719,5899,4719,5899,4719
83,5973.1918945312,4778.5532226562,5973.1918945312,4778.5532226562,5973.1918945312,4778.5532226562,5973,4778,5973,4778,5973,4778
84,6047.8564453125,4838.28515625,6047.8564453125,4838.28515625,6047.8564453125,4838.28515625,6047,4838,6047,4838,6047,4838
85,6123.455078125,4898.763671875,6123.455078125,4898.763671875,6123.455078125,4898.763671875,6123,4898,6123,4898,6123,4898
86,6199.998046875,4959.9985351562,6199.998046875,4959.9985351562,6199.998046875,4959.9985351562,6199,4959,6199,4959,6199,4959
87,6277.498046875,5021.9985351562,6277.498046875,5021.9985351562,6277.498046875,5021.9985351562,6277,5021,6277,5021,6277,5021
88,6355.966796875,5084.7734375,6355.966796875,5084.7734375,6355.966796875,5084.7734375,6355,5084,6355,5084,6355,5084
89,6435.4165039062,5148.3330078125,6435.4165039062,5148.3330078125,6435.4165039062,5148.3330078125,6435,5148,6435,5148,6435,5148
90,6515.8588867188,5212.6870117188,6515.8588867188,5212.6870117188,6515.8588867188,5212.6870117188,6515,5212,6515,5212,6515,5212
91,6597.3071289062,5277.845703125,6597.3071289062,5277.845703125,6597.3071289062,5277.845703125,6597,5277,6597,5277,6597,5277
92,6679.7734375,5343.8188476562,6679.7734375,5343.8188476562,6679.7734375,5343.8188476562,6679,5343,6679,5343,6679,5343
93,6763.2709960938,5410.6166992188,6763.2709960938,5410.6166992188,6763.2709960938,5410.6166992188,6763,5410,6763,5410,6763,5410
94,6847.8115234375,5478.2495117188,6847.8115234375,5478.2495117188,6847.8115234375,5478.2495117188,6847,5478,6847,5478,6847,5478
95,6933.4091796875,5546.7275390625,6933.4091796875,5546.7275390625,6933.4091796875,5546.7275390625,6933,5546,6933,5546,6933,5546
96,7020.0771484375,5616.0615234375,7020.0771484375,5616.0615234375,7020.0771484375,5616.0615234375,7020,5616,7020,5616,7020,5616
97,7107.828125,5686.2622070312,7107.828125,5686.2622070312,7107.828125,5686.2622070312,7107,5686,7107,5686,7107,5686
98,7196.67578125,5757.3408203125,7196.67578125,5757.3408203125,7196.67578125,5757.3408203125,7196,5757,7196,5757,7196,5757
99,7286.6342773438,5829.3071289062,7286.6342773438,5829.3071289062,7286.6342773438,5829.3071289062,7286,5829,7286,5829,7286,5829
100,7377.7172851562,5902.173828125,7377.7172851562,5902.173828125,7377.7172851562,5902.173828125,7377,5902,7377,5902,7377,5902
101,7469.9384765625,5975.9506835938,7469.9384765625,5975.9506835938,7469.9384765625,5975.9506835938,7469,5975,7469,5975,7469,5975
102,7563.3129882812,6050.650390625,7563.3129882812,6050.650390625,7563.3129882812,6050.650390625,7563,6050,7563,6050,7563,6050
103,7657.8540039062,6126.283203125,7657.8540039062,6126.283203125,7657.8540039062,6126.283203125,7657,6126,7657,6126,7657,6126
104,7753.5776367188,6202.8618164062,7753.5776367188,6202.8618164062,7753.5776367188,6202.8618164062,7753,6202,7753,6202,7753,6202
105,7850.4970703125,6280.3974609375,7850.4970703125,6280.3974609375,7850.4970703125,6280.3974609375,7850,6280,7850,6280,7850,6280
106,7948.6284179688,6358.9028320312,7948.6284179688,6358.9028320312,7948.6284179688,6358.9028320312,7948,6358,7948,6358,7948,6358
107,8047.986328125,6438.3891601562,8047.986328125,6438.3891601562,8047.986328125,6438.3891601562,8047,6438,8047,6438,8047,6438
108,8148.5859375,6518.8686523438,8148.5859375,6518.8686523438,8148.5859375,6518.8686523438,8148,6518,8148,6518,8148,6518
109,8250.443359375,6600.3544921875,8250.443359375,6600.3544921875,8250.443359375,6600.3544921875,8250,6600,8250,6600,8250,6600
110,8353.57421875,6682.8588867188,8353.57421875,6682.8588867188,8353.57421875,6682.8588867188,8353,6682,8353,6682,8353,6682
111,8457.9931640625,6766.3950195312,8457.9931640625,6766.3950195312,8457.9931640625,6766.3950195312,8457,6766,8457,6766,8457,6766
112,8563.71875,6850.974609375,8563.71875,6850.974609375,8563.71875,6850.974609375,8563,6850,8563,6850,8563,6850
113,8670.7646484375,6936.6118164062,8670.7646484375,6936.6118164062,8670.7646484375,6936.6118164062,8670,6936,8670,6936,8670,6936
114,8779.1494140625,7023.3198242188,8779.1494140625,7023.3198242188,8779.1494140625,7023.3198242188,8779,7023,8779,7023,8779,7023
115,8888.888671875,7111.111328125,8888.888671875,7111.111328125,8888.888671875,7111.111328125,8888,7111,8888,7111,8888,7111
116,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200
117,9112.5,7290,9112.5,7290,9112.5,7290,9112,7290,9112,7290,9112,7290
118,9226.40625,7381.125,9226.40625,7381.125,9226.40625,7381.125,9226,7381,9226,7381,9226,7381
119,9341.736328125,7473.3891601562,9341.736328125,7473.3891601562,9341.736328125,7473.3891601562,9341,7473,9341,7473,9341,7473
120,9458.5078125,7566.806640625,9458.5078125,7566.806640625,9458.5078125,7566.806640625,9458,7566,9458,7566,9458,7566
121,9576.7392578125,7661.3916015625,9576.7392578125,7661.3916015625,9576.7392578125,7661.3916015625,9576,7661,9576,7661,9576,7661
122,9696.4482421875,7757.1586914062,9696.4482421875,7757.1586914062,9696.4482421875,7757.1586914062,9696,7757,9696,7757,9696,7757
123,9817.654296875,7854.1235351562,9817.654296875,7854.1235351562,9817.654296875,7854.1235351562,9817,7854,9817,7854,9817,7854
124,9940.375,7952.2998046875,9940.375,7952.2998046875,9940.375,7952.2998046875,9940,7952,9940,7952,9940,7952
125,10064.629882812,8051.7036132812,10064.629882812,8051.7036132812,10064.629882812,8051.7036132812,10064,8051,10064,8051,10064,8051
126,10190.438476562,8152.3500976562,10190.438476562,8152.3500976562,10190.438476562,8152.3500976562,10190,8152,10190,8152,10190,8152
127,10317.818359375,8254.25390625,10317.818359375,8254.25390625,10317.818359375,8254.25390625,10317,8254,10317,8254,10317,8254
128,10446.791015625,8357.4326171875,10446.791015625,8357.4326171875,10446.791015625,8357.4326171875,10446,8357,10446,8357,10446,8357
129,10577.375976562,8461.900390625,10577.375976562,8461.900390625,10577.375976562,8461.900390625,10577,8461,10577,8461,10577,8461
130,10709.592773438,8567.673828125,10709.592773438,8567.673828125,10709.592773438,8567.673828125,10709,8567,10709,8567,10709,8567
131,10843.462890625,8674.7705078125,10843.462890625,8674.7705078125,10843.462890625,8674.7705078125,10843,8674,10843,8674,10843,8674
132,10979.005859375,8783.205078125,10979.005859375,8783.205078125,10979.005859375,8783.205078125,10979,8783,10979,8783,10979,8783
133,11116.243164062,8892.9951171875,11116.243164062,8892.9951171875,11116.243164062,8892.9951171875,11116,8892,11116,8892,11116,8892
134,11255.196289062,9004.1572265625,11255.196289062,9004.1572265625,11255.196289062,9004.1572265625,11255,9004,11255,9004,11255,9004
135,11395.88671875,9116.708984375,11395.88671875,9116.708984375,11395.88671875,9116.708984375,11395,9116,11395,9116,11395,9116
136,11538.334960938,9230.66796875,11538.334960938,9230.66796875,11538.334960938,9230.66796875,11538,9230,11538,9230,11538,9230
137,11682.564453125,9346.0517578125,11682.564453125,9346.0517578125,11682.564453125,9346.0517578125,11682,9346,11682,9346,11682,9346
138,11828.596679688,9462.876953125,11828.596679688,9462.876953125,11828.596679688,9462.876953125,11828,9462,11828,9462,11828,9462
139,11976.454101562,9581.1630859375,11976.454101562,9581.1630859375,11976.454101562,9581.1630859375,11976,9581,11976,9581,11976,9581
140,12126.159179688,9700.927734375,12126.159179688,9700.927734375,12126.159179688,9700.927734375,12126,9700,12126,9700,12126,9700
141,12277.736328125,9822.189453125,12277.736328125,9822.189453125,12277.736328125,9822.189453125,12277,9822,12277,9822,12277,9822
142,12431.208007812,9944.966796875,12431.208007812,9944.966796875,12431.208007812,9944.966796875,12431,9944,12431,9944,12431,9944
143,12586.598632812,10069.278320312,12586.598632812,10069.278320312,12586.598632812,10069.278320312,12586,10069,12586,10069,12586,10069
144,12743.930664062,10195.14453125,12743.930664062,10195.14453125,12743.930664062,10195.14453125,12743,10195,12743,10195,12743,10195
145,12903.228515625,10322.583984375,12903.228515625,10322.583984375,12903.228515625,10322.583984375,12903,10322,12903,10322,12903,10322
