Expansion	Inspiration-Craft-Crit	Resourcefulness-Reagent-Reduction	Finesse-Gather-Extra	Deftness-Gather-Time-Decrease	Perception-Gather-Discover	Craft-Speed-Time-Decrease	Multicraft-Craft-Extra	Ingenuity-Concentration-Refund-Chance	UNUSED-Was-Perception-Gather-Range
Vanilla	10	9	10	3	10	5	11	10	10
TheBurningCrusade	10	9	10	3	10	5	11	10	10
WrathOfTheLichKing	10	9	10	3	10	5	11	10	10
Cataclysm	10	9	10	3	10	5	11	10	10
MistsOfPandaria	10	9	10	3	10	5	11	10	10
WarlordsOfDraenor	10	9	10	3	10	5	11	10	10
Legion	10	9	10	3	10	5	11	10	10
BattleForAzeroth	10	9	10	3	10	5	11	10	10
Shadowlands	10	9	10	3	10	5	11	10	10
Dragonflight	10	9	10	6	10	5	11	10	10
TheWarWithin	10	9	10	6	10	5	11	10	10
Midnight	10	9	10	6	10	5	11	10	10
LastTitan	10	9	10	6	10	5	11	10	10
