Field_12_0_0_63534_000_0,Field_12_0_0_63534_000_1,Field_12_0_0_63534_000_2,ID,Field_12_0_0_63534_002,Field_12_0_0_63534_003,Field_12_0_0_63534_004
0,0,0,62,11,11,162
0,-0.0001,0,63,47,47,166
0,0,0,64,35,35,165
0,0,0,65,23,23,5
0,0,0,66,35,35,160
0,0,0,67,23,23,164
0,0,0,68,47,47,6
0,0,0,69,11,11,163
0,0,0,70,11,23,7
0,0,0,71,23,23,161
0,-0.0001,0,72,23,23,8
0,0,0,73,11,5,4
0,0,0,74,11,11,3
0,0,0,75,11,5,177
-0.0001,0.0001,0,76,23,23,179
-0.0001,0.0001,0,77,23,23,180
8.49950027466,0,0,78,11,6.00000572205,162
0,-8.48200035095,0,79,6,11,162
0,8.49219989777,0,80,6,11,162
0,8.51179981232,0,81,6,11,163
8.50669956207,0,0,82,11,6.00000572205,163
0,0,0,83,23,23,187
-0.10000000149,0.10000000149,0,87,46,46,233
-0.10000000149,0.10000000149,0,88,46,46,255
