ID,BoundingBox_0,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,BoundingBox_5,Height
2,0,0,0,0,0,0,7.13891983032
3,-5.5,-5.5,-0.00030000001,5.5,5.5,7,7.00000190735
4,-2.5,-5.5,-0.00030000001,2.5,5.5,7,7.00000190735
5,-11.50500011444,-11.50520038605,-0.00030000001,11.50520038605,11.50510025024,11,11.00000286102
6,-23.50510025024,-23.50519943237,-0.00030000001,23.50519943237,23.50519943237,11,11.00000286102
7,-11.5,-5.5,-0.00030000001,11.5,5.5,7,7.00000190735
8,-11.50020027161,-11.50030040741,-0.99989998341,11.50020027161,11.50049972534,14.0001001358,14.0001001358
160,-17.50510025024,-17.50519943237,-0.00030000001,17.50510025024,17.50069999695,11,11.00000286102
161,-11.5,-11.5,-0.00030000001,11.5,11.5,7,7.00000715256
162,-5.5,-11.5,-0.00030000001,11.5,11.5,7,7.00000715256
163,-5.5,-5.5,-0.00030000001,11.5,11.5,7,7.00000715256
164,-12.13770008087,-12.13770008087,-0.00030000001,12.13770008087,12.13770008087,11,11.00000476837
165,-18.19709968567,-18.19709968567,-0.00030000001,18.19709968567,18.19709968567,11,11.00000476837
166,-24.14380073547,-24.1438999176,-0.00030000001,24.1438999176,24.14380073547,11,11.00002193451
171,-30,-27.5,-2,30,27.5,50,52
172,-35,-30,-1,35,30,125,125
173,-40,-32.5,-2,40,32.5,50,52
179,-11.5001001358,-11.4998998642,-0.00030000001,11.5,11.5001001358,14.0001001358,14.0001001358
180,-11.50020027161,-11.50030040741,-0.99989998341,11.50020027161,11.50049972534,14.0001001358,14.00009727478
187,-11.69999980927,-12.5,-0.30000001192,12.19999980927,12.5,9.69999980927,9.74314403534
202,-23.60000038147,-23.60000038147,-1,23.60000038147,23.60000038147,36.70000076294,35.69413757324
219,-12,-11.69999980927,-0.69999998808,11.60000038147,11.69999980927,17.70000076294,17.69938850403
233,-24.10759925842,-24.82019996643,-1.12839996815,24.10759925842,24.8201007843,62.99810028076,62.99807357788
177,-2.5,-5.5,-0.00030000001,2.5,5.5,7,7.00000190735
255,-24.10759925842,-24.82019996643,-1.12839996815,24.10759925842,24.8201007843,62.99810028076,62.99807357788
