ID,MapID
11,1116
12,1160
18,1159
19,1158
25,1203
32,1152
33,1153
34,1154
38,1277
40,1207
43,1331
44,1330
46,1329
49,1402
54,1220
55,1626
57,1464
60,1478
62,1502
63,0
64,1539
65,1549
66,1550
67,1480
68,1528
70,1533
73,1489
79,1616
82,1620
84,1617
86,1612
90,1495
91,646
92,1503
94,1611
95,870
96,1526
98,1609
99,571
100,1599
101,1
102,1498
104,1545
115,1511
119,1662
125,1642
126,1661
128,1730
130,1731
132,1666
134,1690
138,1643
241,2231
242,2230
244,2241
246,2237
249,2222
255,2301
257,2305
258,2362
260,2370
262,2453
265,2471
267,2532
270,2444
271,2534
272,2582
275,2454
276,2552
279,2530
281,2597
285,2601
288,2664
293,2681
297,2683
299,2510
301,2533
304,2767
306,2689
310,2680
315,2688
318,2679
321,2686
324,2690
329,2682
333,2684
337,2685
339,2687
341,2768
344,2803
345,2738
347,2815
349,2706
350,2826
360,2831
362,2836
368,2850
373,2907
375,2175
379,2771
380,2951
383,2953
386,2933
389,2963
391,2694
393,2979
417,2962
420,2961
431,2965
434,2952
437,2964
440,2966
444,3003
24,1116
31,1116
37,1116
39,1116
41,1116
45,1116
48,1116
56,1116
42,1277
47,1329
58,1220
59,1220
61,1220
80,1220
85,1220
87,1220
89,1220
103,1220
105,1220
106,1220
118,1220
121,1220
129,1220
131,1220
428,1626
423,1478
69,0
81,0
83,0
93,0
268,0
367,0
372,0
378,0
385,0
388,0
419,0
422,0
436,0
446,0
78,1539
111,1539
113,1539
114,1539
402,1539
412,1539
413,1539
414,1539
415,1539
71,1533
72,1533
395,1533
398,1533
405,1533
401,1616
403,1620
429,1617
396,1612
117,1495
408,1495
409,1495
407,1503
430,1611
406,1526
400,1609
399,1599
127,1
243,1
245,1
107,1498
397,1498
416,1498
404,1545
116,1511
410,1511
411,1511
120,1662
426,1662
427,1662
133,1642
136,1642
354,1642
359,1642
425,1730
424,1731
443,1666
135,1690
250,2222
254,2222
256,2222
259,2222
261,2222
263,2222
264,2453
274,2444
376,2444
280,2552
282,2552
283,2552
287,2552
291,2552
292,2552
309,2552
361,2552
364,2552
365,2552
290,2601
296,2601
303,2601
307,2601
314,2601
317,2601
320,2601
323,2601
328,2601
332,2601
335,2601
336,2601
346,2601
352,2601
357,2601
289,2664
294,2681
298,2683
300,2510
302,2533
305,2767
308,2689
311,2680
316,2688
319,2679
322,2686
325,2690
330,2682
334,2684
338,2685
340,2687
342,2768
374,2803
382,2738
348,2815
353,2706
355,2706
356,2706
358,2706
370,2706
351,2826
371,2831
363,2836
369,2850
392,2771
433,2771
442,2771
381,2951
384,2953
387,2953
390,2963
439,2694
394,2979
418,2962
421,2961
432,2965
435,2952
438,2964
441,2966
445,3003
