ID,SoundBusID,PlayerConditionID,PlaybackLimit,Volume,Priority,PriorityPenalty
2,4,48728,20,1,20,0
3,191,48728,5,0.20000000298,160,30
4,224,48728,2,0.10000000149,190,30
6,22,48728,5,0.75,230,30
7,209,48728,20,0.75,210,30
8,211,48728,25,0.75,200,0
9,12,48728,40,0.64999997616,140,30
10,184,48728,15,0.85000002384,180,30
11,186,48728,6,0.60000002384,200,30
12,19,48728,3,0.75,225,30
13,8,48728,10,0.55000001192,60,0
15,4,48729,20,1,20,0
16,191,48729,15,0.34999999404,160,0
17,224,48729,3,0.10000000149,190,0
19,22,48729,5,0.75,230,30
20,209,48729,20,0.75,210,30
21,211,48729,25,0.75,200,0
22,12,48729,40,0.64999997616,140,0
23,184,48729,15,0.85000002384,180,0
24,186,48729,6,0.64999997616,200,0
25,19,48729,1,0.75,225,0
26,8,48729,10,0.64999997616,60,0
28,544,48729,10,1,180,0
29,544,48728,10,1,180,30
30,16,48729,40,1,140,0
31,16,48728,40,1,140,30
32,552,48728,3,0.10000000149,160,0
33,552,48729,3,0.20000000298,160,0
34,551,48728,40,0.30000001192,140,0
35,553,48728,1,0,220,0
36,554,48728,2,0.10000000149,220,0
38,556,48728,3,0.10000000149,230,30
39,557,48728,8,0.15000000596,100,0
40,558,48728,8,0.25,180,0
41,559,48728,3,0.10000000149,180,0
42,560,48728,2,0.05000000075,200,0
43,561,48728,3,0.30000001192,220,0
207,226,48728,3,0.60000002384,130,0
208,185,48728,20,1,55,0
209,11,48728,30,0.85000002384,60,0
210,14,48728,80,0.94999998808,55,0
211,5,48728,50,0.89999997616,50,0
213,551,48729,40,0.30000001192,140,0
214,12,69327,100,0.85000002384,140,0
215,224,69327,3,0.30000001192,190,0
216,191,69327,20,0.5,160,0
217,16,69327,10,0.5,140,0
224,551,99902,40,0.60000002384,60,0
225,552,99902,3,0.40000000596,180,0
226,8,99902,10,0.55000001192,80,0
227,554,99902,2,0.40000000596,220,0
229,558,99902,15,0.69999998808,60,0
230,559,99902,8,0.69999998808,60,0
231,560,99902,2,0.20000000298,200,0
232,5,99902,50,0.85000002384,50,0
233,553,99902,10,0.20000000298,190,0
234,553,48729,3,0.05000000075,220,0
235,9,99902,5,0.5,140,0
236,9,48728,20,0.5,140,0
237,9,48729,20,0.5,140,0
238,7,99902,5,0.30000001192,180,0
239,225,99902,5,0.5,140,0
240,664,99902,100,0.89999997616,55,0
241,672,99902,15,0.85000002384,55,0
242,671,99902,20,0.89999997616,55,0
243,667,99902,2,0.40000000596,140,0
244,665,99902,5,0.5,90,0
245,666,99902,10,0.20000000298,190,0
246,673,99902,3,0.60000002384,65,0
248,688,99902,15,0.5,70,0
249,685,99902,10,0.40000000596,100,0
250,11,99902,50,1,50,0
251,543,99902,50,1,50,0
253,554,48729,2,0.10000000149,220,0
255,556,48729,3,0.10000000149,230,30
256,558,48729,8,0.34999999404,180,0
257,559,48729,3,0.15000000596,180,0
258,560,48729,2,0.05000000075,200,0
259,5,48729,50,0.89999997616,50,0
260,16,112408,1,0.40000000596,140,30
261,191,112408,2,0.34999999404,160,0
262,224,112408,1,0.10000000149,190,0
264,22,112408,2,0.75,230,30
265,12,112408,20,0.5,140,0
266,184,112408,5,0.60000002384,180,0
267,186,112408,2,0.5,200,0
271,551,140261,50,0.40000000596,140,0
272,664,140261,50,0.40000000596,55,0
273,5,141780,65,1,128,0
274,6,141780,10,1,140,0
275,7,141780,5,1,223,0
276,8,141780,10,0.75,60,0
277,9,141780,20,0.69999998808,80,0
278,10,141780,3,1,225,0
279,11,141780,25,1,60,0
280,551,141780,50,0.5,140,0
281,552,141780,10,0.75,160,0
282,553,141780,3,0.25,220,0
283,554,141780,10,0.5,220,0
284,555,141780,10,0.25,240,0
285,556,141780,5,1,230,30
286,557,141780,8,0.75,100,0
287,558,141780,20,0.75,180,0
288,559,141780,20,0.75,180,0
289,560,141780,5,0.75,200,0
290,561,141780,5,0.30000001192,225,0
291,664,141780,100,0.85000002384,140,0
292,665,141780,20,0.75,160,0
293,666,141780,190,0.34999999404,190,0
294,667,141780,10,0.75,220,0
295,668,141780,10,0.25,240,0
296,669,141780,5,1,230,30
297,670,141780,8,1,100,0
298,671,141780,20,1,180,0
299,672,141780,15,1,180,0
300,673,141780,10,0.75,200,0
301,674,141780,3,0.5,225,0
302,543,141780,25,1,60,0
303,197,149291,0,0,245,30
