ID,Params_0,Params_1,Params_2,Params_3,Params_4,Params_5,Params_6,Params_7,Params_8,FilterType,SoundFilterID
1,1,0.90799999237,0,0,0,0,0,0,0,1,1
2,0,1,0.87800002098,1,0,4.51200008392,1.10000002384,0.01499999966,0.0120000001,4,1
3,1,67,0.03500000015,0.15999999642,1,0,0,0,0,5,1
4,1,70,0.03500000015,0.1630000025,1,0,0,0,0,5,2
5,0,1,1,1,0,22.04400062561,0.83799999952,0.13300000131,0.00499999989,4,2
6,1,0.88400000334,0,0,0,0,0,0,0,1,3
7,0,1,0.49099999666,1,0,22.04400062561,1.06599998474,0.02400000021,0.00999999978,4,3
8,1,65,0.03700000048,0.11900000274,1,0,0,0,0,5,3
9,1,70,0.03500000015,0.1630000025,1,0,0,0,0,5,4
10,0,1,1,1,0,22.04400062561,0.83799999952,0.02999999933,0.00999999978,4,4
11,1,0.91799998283,0,0,0,0,0,0,0,1,5
12,0,1,0.88099998236,1,0,22.04400062561,1.06599998474,0.02099999972,0.00499999989,4,5
13,1,67,0.03700000048,0.1630000025,1,0,0,0,0,5,5
14,1,74,0.03999999911,0.1630000025,1,0,0,0,0,5,6
15,0,1,1,1,0,22.04400062561,0.83799999952,0.02999999933,0.00499999989,4,6
16,1,0.88400000334,0,0,0,0,0,0,0,1,7
17,0,1,0.61199998856,0.57099997997,0,22.04400062561,1.11099994183,0.02400000021,0.00999999978,4,7
18,1,56,0.03700000048,0.20100000501,1,0,0,0,0,5,7
19,1,0.93999999762,0,0,0,0,0,0,0,1,8
20,1,70,0.03999999911,0.1630000025,1,0,0,0,0,5,8
21,1,0.86400002241,0,0,0,0,0,0,0,1,9
22,0,1,0.78500002623,0.57700002193,0,22.04400062561,1.11099994183,0.02400000021,0.00999999978,4,9
23,1,67,0.03700000048,0.13500000536,1,0,0,0,0,5,9
24,1,70,0.03700000048,0.15999999642,1,0,0,0,0,5,10
25,0,1,1,1,0,22.04400062561,0.83799999952,0.02999999933,0.00499999989,4,10
26,1,0.91200000048,0,0,0,0,0,0,0,1,11
27,0,0.60000002384,0.20000000298,0.40000000596,0.10000000149,22.04400062561,1.10000002384,0.01899999939,0.00999999978,4,11
28,1,67,0.03700000048,0.15800000727,1,0,0,0,0,5,11
29,1,72,0.03999999911,0.15800000727,1,0,0,0,0,5,12
30,0,1,0.99199998379,1,0,22.27199935913,0.88300001621,0.03299999982,0.00999999978,4,12
31,1,1.13399994373,0,0,0,0,0,0,0,1,13
32,0,1,0.87599998713,1,0,22.04400062561,1.11099994183,0.02099999972,0.00800000038,4,13
33,1,67,0.04199999943,0.15999999642,1,0,0,0,0,5,13
34,1,72,0.04199999943,0.16500000656,1,0,0,0,0,5,14
35,0,1,1,1,0,22.04400062561,0.83799999952,0.02600000054,0.00999999978,4,14
36,1,0.97000002861,0,0,0,0,0,0,0,1,15
37,0,1,0.78500002623,0.81699997187,0,22.04400062561,1.11099994183,0.02099999972,0.00499999989,4,15
38,1,67,0.03500000015,0.11900000274,1,0,0,0,0,5,15
39,1,72,0.03999999911,0.16500000656,1,0,0,0,0,5,16
40,0,1,1,1,0,22.04400062561,0.83799999952,0.02800000086,0.00800000038,4,16
41,1,0.8939999938,0,0,0,0,0,0,0,1,17
42,0,1,0.88099998236,1,0,21.81599998474,1.10000002384,0.02999999933,0.00999999978,4,17
43,1,65,0.03500000015,0.15999999642,1,0,0,0,0,5,17
44,1,7897.5859375,1,0,0,0,0,0,0,3,17
45,1,72,0.04399999976,0.15800000727,1,0,0,0,0,5,18
46,0,1,1,1,0,22.27199935913,0.83799999952,0.02600000054,0.00999999978,4,18
47,1,0.87699997425,0,0,0,0,0,0,0,1,19
48,0,1,0.87000000477,1,0,22.04000091553,1.10000002384,0.0195000004,0.00999999978,4,19
50,1,72,0.03700000048,0.15999999642,1,0,0,0,0,5,20
51,0,1,0.99500000477,1,0,22.27199935913,0.83799999952,0.02800000086,0.00999999978,4,20
52,1,0.8939999938,0,0,0,0,0,0,0,1,21
53,0,1,0.88099998236,1,0,21.81599998474,1.10000002384,0.02999999933,0.00999999978,4,21
54,1,65,0.03500000015,0.15999999642,1,0,0,0,0,5,21
55,1,7897.5859375,1,0,0,0,0,0,0,3,21
56,1,0.93999999762,0,0,0,0,0,0,0,1,22
57,1,72,0.04399999976,0.15800000727,1,0,0,0,0,5,22
58,1,0.90799999237,0,0,0,0,0,0,0,1,23
59,0,1,0.87800002098,1,0,4.51200008392,1.10000002384,0.01499999966,0.0120000001,4,23
60,1,67,0.03500000015,0.15999999642,1,0,0,0,0,5,23
61,1,70,0.03500000015,0.1630000025,1,0,0,0,0,5,24
62,0,1,1,1,0,22.04400062561,0.83799999952,0.13300000131,0.00499999989,4,24
63,1,0.97000002861,0,0,0,0,0,0,0,1,25
64,0,1,0.78500002623,0.81699997187,0,22.04400062561,1.11099994183,0.02099999972,0.00499999989,4,25
65,1,67,0.03500000015,0.11900000274,1,0,0,0,0,5,25
66,1,72,0.03999999911,0.16500000656,1,0,0,0,0,5,26
