Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Traveler	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary	Mana Consumable
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.417985594	400	1.152328562	2	3	292.2471295	0.096680836	0.096680836	400
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.654316526	400	1.152328562	2	3	321.4718424	0.112794309	0.112794309	400
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.890647459	400	1.152328562	2	3	350.6965554	0.128907781	0.128907781	400
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.126978391	400	1.152328562	2	3	379.9212683	0.145021254	0.145021254	400
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.363309323	400	1.152328562	2	3	409.1459812	0.161134727	0.161134727	400
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.777614781	1000	1.152328562	2	3	438.3706942	0.205164728	0.205164728	1000
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.221023776	1000	1.152328562	2	3	467.5954071	0.2562178	0.2562178	1000
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.693265055	1000	1.152328562	2	3	496.8201201	0.314766908	0.314766908	1000
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.194102174	1000	1.152328562	2	3	526.044833	0.381282016	0.381282016	1000
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.751255676	1000	1.152328562	2	3	1115.874653	0.458928105	0.458928105	1000
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.342310458	2000	1.152328562	2	3	1181.106731	0.573691293	0.573691293	2000
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.967255244	2000	1.152328562	2	3	1248.029978	0.70861156	0.70861156	2000
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.626080749	2000	1.152328562	2	3	1975.138409	0.86590828	0.86590828	2000
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.318779251	2000	1.152328562	2	3	2081.160693	1.04791612	1.04791612	2000
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.045344276	2000	1.152328562	2	3	2190.332019	1.257085043	1.257085043	2000
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.786881257	4500	1.152328562	2	3	3074.394011	1.445175698	1.445175698	4500
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.539656695	4500	1.152328562	2	3	3233.904841	1.648842936	1.648842936	4500
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3000214	4500	1.152328562	2	3	4230.630164	1.868049335	1.868049335	4500
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.06445496	4500	1.152328562	2	3	4422.59656	2.10266555	2.10266555	4500
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.82960435	4500	1.152328562	2	3	4601.969648	2.352478139	2.352478139	4500
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.10799669	7000	1.296176691	2.093823886	3	5616.199724	2.516537038	2.516537038	7000
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.36080112	7000	1.296176691	2.093823886	3	5713.544127	2.681919274	2.681919274	7000
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.58836756	7000	1.296176691	2.093823886	3	5792.595688	2.848118159	2.848118159	7000
