Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	1	1	1	1
6	1	1	1	1
7	1	1	1	1
8	1	1	1	1
9	1	1	1	1
10	1	1	1	1
11	1	1	1	1
12	1	1	1	1
13	1	1	1	1
14	1	1	1	1
15	1	1	1	1
16	1	1	1	1
17	1	1	1	1
18	1	1	1	1
19	1	1	1	1
20	1	1	1	1
21	1	1	1	1
22	1	1	1	1
23	1	1	1	1
24	1	1	1	1
25	1	1	1	1
26	1	1	1	1
27	1	1	1	1
28	1	1	1	1
29	1	1	1	1
30	1	1	1	1
31	1	1	1	1
32	1	1	1	1
33	1	1	1	1
34	1	1	1	1
35	1	1	1	1
36	1	1	1	1
37	1	1	1	1
38	1	1	1	1
39	1	1	1	1
40	1	1	1	1
41	1	1	1	1
42	1	1	1	1
43	1	1	1	1
44	1	1	1	1
45	1	1	1	1
46	1	1	1	1
47	1	1	1	1
48	1	1	1	1
49	1	1	1	1
50	1	1	1	1
51	1	1	1	1
52	1	1	1	1
53	1	1	1	1
54	1	1	1	1
55	1	1	1	1
56	1	1	1	1
57	1	1	1	1
58	1	1	1	1
59	1	1	1	1
60	1	1	1	1
61	1	1	1	1
62	1	1	1	1
63	1	1	1	1
64	1	1	1	1
65	1	1	1	1
66	1	1	1	1
67	1	1	1	1
68	1	1	1	1
69	1	1	1	1
70	1	1	1	1
71	1	1	1	1
72	1	1	1	1
73	1	1	1	1
74	1	1	1	1
75	1	1	1	1
76	1.000050322	1.000050322	1.000050322	1.000050322
77	1.000150966	1.000150966	1.000150966	1.000150966
78	1.008570684	1.008570684	1.008570684	1.008570684
79	1.025309477	1.025309477	1.025309477	1.025309477
80	1.050367343	1.050367343	1.050367343	1.050367343
81	1.091860745	1.091860745	1.091860745	1.091860745
82	1.149689038	1.149689038	1.149689038	1.149689038
83	1.223852221	1.223852221	1.223852221	1.223852221
84	1.305782602	1.305782602	1.305782602	1.305782602
85	1.395480181	1.395480181	1.395480181	1.395480181
86	1.492944957	1.492944957	1.492944957	1.492944957
87	1.589772655	1.589772655	1.589772655	1.589772655
88	1.686013598	1.686013598	1.686013598	1.686013598
89	1.781667786	1.781667786	1.781667786	1.781667786
90	1.876757172	1.876757172	1.876757172	1.876757172
91	1.971281758	1.971281758	1.971281758	1.971281758
92	2.065241542	2.065241542	2.065241542	2.065241542
93	2.158657887	2.158657887	2.158657887	2.158657887
94	2.251530792	2.251530792	2.251530792	2.251530792
95	2.34883165	2.34883165	2.34883165	2.34883165
96	2.445609852	2.445609852	2.445609852	2.445609852
97	2.54431722	2.54431722	2.54431722	2.54431722
98	2.647392349	2.647392349	2.647392349	2.647392349
99	2.749965043	2.749965043	2.749965043	2.749965043
100	2.852035304	2.852035304	2.852035304	2.852035304
101	2.943660344	2.943660344	2.943660344	2.943660344
102	3.027602533	3.027602533	3.027602533	3.027602533
103	3.10853341	3.10853341	3.10853341	3.10853341
104	3.181575785	3.181575785	3.181575785	3.181575785
105	3.249440758	3.249440758	3.249440758	3.249440758
106	3.319181148	3.319181148	3.319181148	3.319181148
107	3.395768348	3.395768348	3.395768348	3.395768348
108	3.481667585	3.481667585	3.481667585	3.481667585
109	3.560180317	3.560180317	3.560180317	3.560180317
110	3.633745137	3.633745137	3.633745137	3.633745137
111	3.704787594	3.704787594	3.704787594	3.704787594
112	3.75920205	3.75920205	3.75920205	3.75920205
113	3.813043495	3.813043495	3.813043495	3.813043495
114	3.866311929	3.866311929	3.866311929	3.866311929
115	3.928582534	3.928582534	3.928582534	3.928582534
116	4.006574239	4.006574239	4.006574239	4.006574239
117	4.100287045	4.100287045	4.100287045	4.100287045
118	4.216773769	4.216773769	4.216773769	4.216773769
119	4.330552267	4.330552267	4.330552267	4.330552267
120	4.44162254	4.44162254	4.44162254	4.44162254
121	4.549984586	4.549984586	4.549984586	4.549984586
122	4.64220055	4.64220055	4.64220055	4.64220055
123	4.718270429	4.718270429	4.718270429	4.718270429
124	4.778194226	4.778194226	4.778194226	4.778194226
125	4.837769491	4.837769491	4.837769491	4.837769491
126	4.896996226	4.896996226	4.896996226	4.896996226
127	4.95587443	4.95587443	4.95587443	4.95587443
128	5.021123032	5.021123032	5.021123032	5.021123032
129	5.101229089	5.101229089	5.101229089	5.101229089
130	5.1961926	5.1961926	5.1961926	5.1961926
131	5.286644935	5.286644935	5.286644935	5.286644935
132	5.378863916	5.378863916	5.378863916	5.378863916
133	5.472849544	5.472849544	5.472849544	5.472849544
134	5.568601817	5.568601817	5.568601817	5.568601817
135	5.649146625	5.649146625	5.649146625	5.649146625
136	5.714483965	5.714483965	5.714483965	5.714483965
137	5.777612073	5.777612073	5.777612073	5.777612073
138	5.825975301	5.825975301	5.825975301	5.825975301
139	5.859573649	5.859573649	5.859573649	5.859573649
140	5.878407118	5.878407118	5.878407118	5.878407118
141	5.890962764	5.890962764	5.890962764	5.890962764
142	5.897240587	5.897240587	5.897240587	5.897240587
143	5.897240587	5.897240587	5.897240587	5.897240587
144	5.897240587	5.897240587	5.897240587	5.897240587
145	5.897240587	5.897240587	5.897240587	5.897240587
146	5.897240587	5.897240587	5.897240587	5.897240587
147	5.897240587	5.897240587	5.897240587	5.897240587
148	5.929605022	5.929605022	5.929605022	5.929605022
149	5.994333892	5.994333892	5.994333892	5.994333892
150	6.091427196	6.091427196	6.091427196	6.091427196
151	6.220884936	6.220884936	6.220884936	6.220884936
152	6.390541073	6.390541073	6.390541073	6.390541073
153	6.600395608	6.600395608	6.600395608	6.600395608
154	6.785719672	6.785719672	6.785719672	6.785719672
155	6.952330361	6.952330361	6.952330361	6.952330361
156	7.100227678	7.100227678	7.100227678	7.100227678
157	7.22941162	7.22941162	7.22941162	7.22941162
158	7.329984532	7.329984532	7.329984532	7.329984532
159	7.401946415	7.401946415	7.401946415	7.401946415
160	7.477661702	7.477661702	7.477661702	7.477661702
161	7.55122244	7.55122244	7.55122244	7.55122244
162	7.622628629	7.622628629	7.622628629	7.622628629
163	7.69188027	7.69188027	7.69188027	7.69188027
164	7.755270785	7.755270785	7.755270785	7.755270785
165	7.820371384	7.820371384	7.820371384	7.820371384
166	7.888258689	7.888258689	7.888258689	7.888258689
167	7.954378999	7.954378999	7.954378999	7.954378999
168	8.019819086	8.019819086	8.019819086	8.019819086
169	8.085670838	8.085670838	8.085670838	8.085670838
170	8.158801544	8.158801544	8.158801544	8.158801544
171	8.225170968	8.225170968	8.225170968	8.225170968
172	8.283733232	8.283733232	8.283733232	8.283733232
173	8.33916378	8.33916378	8.33916378	8.33916378
174	8.390406871	8.390406871	8.390406871	8.390406871
175	8.436401799	8.436401799	8.436401799	8.436401799
176	8.476082868	8.476082868	8.476082868	8.476082868
177	8.51595058	8.51595058	8.51595058	8.51595058
178	8.556005811	8.556005811	8.556005811	8.556005811
179	8.596249445	8.596249445	8.596249445	8.596249445
180	8.636682366	8.636682366	8.636682366	8.636682366
181	8.677305466	8.677305466	8.677305466	8.677305466
182	8.718119639	8.718119639	8.718119639	8.718119639
183	8.759125783	8.759125783	8.759125783	8.759125783
184	8.800324803	8.800324803	8.800324803	8.800324803
185	8.841717603	8.841717603	8.841717603	8.841717603
186	8.883305098	8.883305098	8.883305098	8.883305098
187	8.925088201	8.925088201	8.925088201	8.925088201
188	8.967067833	8.967067833	8.967067833	8.967067833
189	9.009244919	9.009244919	9.009244919	9.009244919
190	9.051620387	9.051620387	9.051620387	9.051620387
191	9.09419517	9.09419517	9.09419517	9.09419517
192	9.136970206	9.136970206	9.136970206	9.136970206
193	9.179946436	9.179946436	9.179946436	9.179946436
194	9.223124808	9.223124808	9.223124808	9.223124808
195	9.266506272	9.266506272	9.266506272	9.266506272
196	9.310091782	9.310091782	9.310091782	9.310091782
197	9.353882299	9.353882299	9.353882299	9.353882299
198	9.397878788	9.397878788	9.397878788	9.397878788
199	9.442082216	9.442082216	9.442082216	9.442082216
200	9.486493557	9.486493557	9.486493557	9.486493557
201	9.53111379	9.53111379	9.53111379	9.53111379
202	9.575943896	9.575943896	9.575943896	9.575943896
203	9.620984863	9.620984863	9.620984863	9.620984863
204	9.666237683	9.666237683	9.666237683	9.666237683
205	9.711703351	9.711703351	9.711703351	9.711703351
206	9.75738287	9.75738287	9.75738287	9.75738287
207	9.803277245	9.803277245	9.803277245	9.803277245
208	9.849387487	9.849387487	9.849387487	9.849387487
209	9.895714611	9.895714611	9.895714611	9.895714611
210	9.942259636	9.942259636	9.942259636	9.942259636
211	9.989023589	9.989023589	9.989023589	9.989023589
212	10.0360075	10.0360075	10.0360075	10.0360075
213	10.0832124	10.0832124	10.0832124	10.0832124
214	10.13063933	10.13063933	10.13063933	10.13063933
215	10.17828934	10.17828934	10.17828934	10.17828934
216	10.22616347	10.22616347	10.22616347	10.22616347
217	10.27426278	10.27426278	10.27426278	10.27426278
218	10.32258833	10.32258833	10.32258833	10.32258833
219	10.37114118	10.37114118	10.37114118	10.37114118
220	10.4199224	10.4199224	10.4199224	10.4199224
221	10.46893306	10.46893306	10.46893306	10.46893306
222	10.51677406	10.51677406	10.51677406	10.51677406
223	10.56203969	10.56203969	10.56203969	10.56203969
224	10.60331766	10.60331766	10.60331766	10.60331766
225	10.639189	10.639189	10.639189	10.639189
226	10.66822811	10.66822811	10.66822811	10.66822811
227	10.68900265	10.68900265	10.68900265	10.68900265
228	10.70287393	10.70287393	10.70287393	10.70287393
229	10.71120969	10.71120969	10.71120969	10.71120969
230	10.71538408	10.71538408	10.71538408	10.71538408
231	10.71677772	10.71677772	10.71677772	10.71677772
232	10.71677772	10.71677772	10.71677772	10.71677772
233	10.71677772	10.71677772	10.71677772	10.71677772
234	10.72785675	10.72785675	10.72785675	10.72785675
235	10.75001481	10.75001481	10.75001481	10.75001481
236	10.7832519	10.7832519	10.7832519	10.7832519
237	10.82756803	10.82756803	10.82756803	10.82756803
238	10.88296318	10.88296318	10.88296318	10.88296318
239	10.94943737	10.94943737	10.94943737	10.94943737
240	11.00483252	11.00483252	11.00483252	11.00483252
241	11.04914865	11.04914865	11.04914865	11.04914865
242	11.08238574	11.08238574	11.08238574	11.08238574
243	11.1045438	11.1045438	11.1045438	11.1045438
244	11.11562283	11.11562283	11.11562283	11.11562283
245	11.11562283	11.11562283	11.11562283	11.11562283
246	11.11562283	11.11562283	11.11562283	11.11562283
247	11.12632042	11.12632042	11.12632042	11.12632042
248	11.1477156	11.1477156	11.1477156	11.1477156
249	11.17980837	11.17980837	11.17980837	11.17980837
250	11.22259872	11.22259872	11.22259872	11.22259872
251	11.27608666	11.27608666	11.27608666	11.27608666
252	11.3402722	11.3402722	11.3402722	11.3402722
253	11.39376014	11.39376014	11.39376014	11.39376014
254	11.4365505	11.4365505	11.4365505	11.4365505
255	11.46864326	11.46864326	11.46864326	11.46864326
256	11.49003844	11.49003844	11.49003844	11.49003844
257	11.50073603	11.50073603	11.50073603	11.50073603
258	11.50073603	11.50073603	11.50073603	11.50073603
259	11.50073603	11.50073603	11.50073603	11.50073603
260	11.51117813	11.51117813	11.51117813	11.51117813
261	11.53206234	11.53206234	11.53206234	11.53206234
262	11.56338865	11.56338865	11.56338865	11.56338865
263	11.60515707	11.60515707	11.60515707	11.60515707
264	11.65736759	11.65736759	11.65736759	11.65736759
265	11.72002021	11.72002021	11.72002021	11.72002021
266	11.77223073	11.77223073	11.77223073	11.77223073
267	11.81399915	11.81399915	11.81399915	11.81399915
268	11.84532546	11.84532546	11.84532546	11.84532546
269	11.86620967	11.86620967	11.86620967	11.86620967
270	11.87665177	11.87665177	11.87665177	11.87665177
271	11.87665177	11.87665177	11.87665177	11.87665177
272	11.87665177	11.87665177	11.87665177	11.87665177
273	11.8869465	11.8869465	11.8869465	11.8869465
274	11.9083245	11.9083245	11.9083245	11.9083245
275	11.94078578	11.94078578	11.94078578	11.94078578
276	11.98433034	11.98433034	11.98433034	11.98433034
277	12.03895816	12.03895816	12.03895816	12.03895816
278	12.10466927	12.10466927	12.10466927	12.10466927
279	12.16087419	12.16087419	12.16087419	12.16087419
280	12.21072259	12.21072259	12.21072259	12.21072259
281	12.25421446	12.25421446	12.25421446	12.25421446
282	12.29134981	12.29134981	12.29134981	12.29134981
283	12.32212864	12.32212864	12.32212864	12.32212864
284	12.34970048	12.34970048	12.34970048	12.34970048
285	12.38436006	12.38436006	12.38436006	12.38436006
286	12.41744243	12.41744243	12.41744243	12.41744243
287	12.4489476	12.4489476	12.4489476	12.4489476
288	12.47887556	12.47887556	12.47887556	12.47887556
289	12.5072263	12.5072263	12.5072263	12.5072263
290	12.53242822	12.53242822	12.53242822	12.53242822
291	12.55526999	12.55526999	12.55526999	12.55526999
292	12.58047839	12.58047839	12.58047839	12.58047839
293	12.6080534	12.6080534	12.6080534	12.6080534
294	12.63799502	12.63799502	12.63799502	12.63799502
295	12.67030326	12.67030326	12.67030326	12.67030326
296	12.69867274	12.69867274	12.69867274	12.69867274
297	12.72626588	12.72626588	12.72626588	12.72626588
298	12.75308269	12.75308269	12.75308269	12.75308269
299	12.77912316	12.77912316	12.77912316	12.77912316
300	12.80438728	12.80438728	12.80438728	12.80438728
301	12.82887507	12.82887507	12.82887507	12.82887507
302	12.85731398	12.85731398	12.85731398	12.85731398
303	12.88577055	12.88577055	12.88577055	12.88577055
304	12.91424481	12.91424481	12.91424481	12.91424481
305	12.94273674	12.94273674	12.94273674	12.94273674
306	12.97363362	12.97363362	12.97363362	12.97363362
307	13.00693546	13.00693546	13.00693546	13.00693546
308	13.04264226	13.04264226	13.04264226	13.04264226
309	13.07837277	13.07837277	13.07837277	13.07837277
310	13.114127	13.114127	13.114127	13.114127
311	13.14990494	13.14990494	13.14990494	13.14990494
312	13.18093205	13.18093205	13.18093205	13.18093205
313	13.21041175	13.21041175	13.21041175	13.21041175
314	13.23834404	13.23834404	13.23834404	13.23834404
315	13.26469856	13.26469856	13.26469856	13.26469856
316	13.29188739	13.29188739	13.29188739	13.29188739
317	13.31991052	13.31991052	13.31991052	13.31991052
318	13.35115523	13.35115523	13.35115523	13.35115523
319	13.38163558	13.38163558	13.38163558	13.38163558
320	13.41135156	13.41135156	13.41135156	13.41135156
321	13.44269711	13.44269711	13.44269711	13.44269711
322	13.47327845	13.47327845	13.47327845	13.47327845
323	13.50309557	13.50309557	13.50309557	13.50309557
324	13.53214847	13.53214847	13.53214847	13.53214847
325	13.55879875	13.55879875	13.55879875	13.55879875
326	13.58630262	13.58630262	13.58630262	13.58630262
327	13.61466007	13.61466007	13.61466007	13.61466007
328	13.64142243	13.64142243	13.64142243	13.64142243
329	13.66904437	13.66904437	13.66904437	13.66904437
330	13.69752589	13.69752589	13.69752589	13.69752589
331	13.7292879	13.7292879	13.7292879	13.7292879
332	13.76028398	13.76028398	13.76028398	13.76028398
333	13.79051412	13.79051412	13.79051412	13.79051412
334	13.82240869	13.82240869	13.82240869	13.82240869
335	13.85353617	13.85353617	13.85353617	13.85353617
336	13.88389657	13.88389657	13.88389657	13.88389657
337	13.91348989	13.91348989	13.91348989	13.91348989
338	13.94064037	13.94064037	13.94064037	13.94064037
339	13.96867102	13.96867102	13.96867102	13.96867102
340	13.99758184	13.99758184	13.99758184	13.99758184
341	14.02654194	14.02654194	14.02654194	14.02654194
342	14.05638855	14.05638855	14.05638855	14.05638855
343	14.08712168	14.08712168	14.08712168	14.08712168
344	14.12120732	14.12120732	14.12120732	14.12120732
345	14.15452016	14.15452016	14.15452016	14.15452016
346	14.1870602	14.1870602	14.1870602	14.1870602
347	14.21796513	14.21796513	14.21796513	14.21796513
348	14.24556046	14.24556046	14.24556046	14.24556046
349	14.27322875	14.27322875	14.27322875	14.27322875
350	14.30097001	14.30097001	14.30097001	14.30097001
351	14.32706581	14.32706581	14.32706581	14.32706581
352	14.3540698	14.3540698	14.3540698	14.3540698
353	14.38365207	14.38365207	14.38365207	14.38365207
354	14.41664985	14.41664985	14.41664985	14.41664985
355	14.44886647	14.44886647	14.44886647	14.44886647
356	14.48030193	14.48030193	14.48030193	14.48030193
357	14.51347696	14.51347696	14.51347696	14.51347696
358	14.54586785	14.54586785	14.54586785	14.54586785
359	14.57747462	14.57747462	14.57747462	14.57747462
360	14.60829725	14.60829725	14.60829725	14.60829725
361	14.63658139	14.63658139	14.63658139	14.63658139
362	14.66579613	14.66579613	14.66579613	14.66579613
363	14.69594147	14.69594147	14.69594147	14.69594147
364	14.72440379	14.72440379	14.72440379	14.72440379
365	14.75380356	14.75380356	14.75380356	14.75380356
366	14.78414077	14.78414077	14.78414077	14.78414077
367	14.81798387	14.81798387	14.81798387	14.81798387
368	14.8510315	14.8510315	14.8510315	14.8510315
369	14.88328364	14.88328364	14.88328364	14.88328364
370	14.91732394	14.91732394	14.91732394	14.91732394
371	14.95056496	14.95056496	14.95056496	14.95056496
372	14.9830067	14.9830067	14.9830067	14.9830067
373	15.01464915	15.01464915	15.01464915	15.01464915
374	15.04368783	15.04368783	15.04368783	15.04368783
375	15.07368713	15.07368713	15.07368713	15.07368713
376	15.10464704	15.10464704	15.10464704	15.10464704
377	15.13388111	15.13388111	15.13388111	15.13388111
378	15.16408286	15.16408286	15.16408286	15.16408286
379	15.19525229	15.19525229	15.19525229	15.19525229
380	15.23002618	15.23002618	15.23002618	15.23002618
381	15.26398692	15.26398692	15.26398692	15.26398692
382	15.2971345	15.2971345	15.2971345	15.2971345
