ID,TraitTreeID,ChrSpecializationID
11,701,1468
12,701,1467
50,775,63
51,775,63
53,775,63
54,775,63
102,781,268
134,701,1467
135,701,1468
210,781,268
306,701,1467
312,877,267
313,877,265
314,877,266
315,877,266
316,877,267
317,877,265
363,880,71
364,880,72
365,880,72
366,880,72
367,880,72
368,880,72
369,880,72
370,880,72
371,880,71
372,880,71
373,880,71
374,880,71
375,880,72
376,880,73
377,880,73
378,880,73
379,880,72
393,775,0
394,775,71
395,775,71
413,781,270
423,781,269
455,898,0
493,1033,262
494,1033,263
495,1033,264
496,1034,262
497,1034,263
498,1034,264
569,872,1468
570,872,1473
571,872,1467
589,793,104
625,793,102
637,793,103
648,852,259
667,852,260
682,793,105
688,720,265
689,720,266
690,720,267
701,852,261
704,854,1480
709,795,256
714,1000,268
717,795,258
719,790,66
720,790,65
721,795,257
723,854,581
724,854,577
733,750,252
734,750,251
735,750,250
743,658,64
745,658,62
746,786,262
747,786,263
748,786,264
750,658,63
752,790,70
753,1000,269
754,1000,270
763,850,72
764,850,71
765,850,73
766,774,255
767,774,254
768,774,253
