ScriptTag,Position_0,Position_1,Position_2,ID,UiModelSceneID,Flags,UiModelSceneActorDisplayID,OrientationYaw,OrientationPitch,OrientationRoll,NormalizedScale
unwrapped,0,0,0,1,4,8,6,0,0,0,0.25
wrapped,0,0,-0.5,2,4,0,1,0,0,0,0
unwrapped,0,0,0,5,6,9,245,0,0,0,1
wrapped,0,0,-0.5,6,6,0,246,0,0,0,0
pet,0,0,0,7,7,9,11,0,0,0,0.85000002384
creature,0,0,0.10000000149,10,9,8,14,0.17453292012,0,0,0.40000000596
item,0,0,0,11,10,15,15,-2.61799383163,0,0,0.37000000477
effect,0,0,0,16,18,8,18,0,0,0,0
effect,0,0,0,25,20,0,20,0,0,0,0
effect,0,0,0,26,21,0,21,0,0,0,0
effect,0,0,0,27,22,0,22,0,0,0,0
effect,0,0,0,28,23,0,23,0,0,0,0
effect,0,0,0,29,24,0,24,0,0,0,0
effect,0,0,0,30,25,0,25,0,0,0,0
effect,0,0,0,31,26,0,26,0,0,0,0
effect,0,0,0,32,27,0,27,0,0,0,0
effect,0,0,0,33,28,0,28,0,0,0,0
effect,0,0,0,34,29,0,29,0,0,0,0
effect,0,0,0,35,30,0,30,0,0,0,0
effect,0,0,0,36,31,0,31,0,0,0,0
effect,0,0,0,37,32,0,32,0,0,0,0
unwrapped,0,0,0,38,33,9,9,0,0,0,0.5
wrapped,0,0,-0.5,39,33,0,10,0,0,0,0
unwrapped,0,0,0,40,34,9,9,0,0,0,0.75
wrapped,0,0,-0.5,41,34,0,10,0,0,0,0
unwrapped,0,0,0,42,35,9,9,0,0,0,1.5
wrapped,0,0,-0.5,43,35,0,10,0,0,0,0
unwrapped,0,0,0,44,36,9,9,0,0,0,2
wrapped,0,0,-0.5,45,36,0,10,0,0,0,0
unwrapped,0,0,0,46,37,9,9,0,0,0,0.25
wrapped,0,0,-0.5,47,37,0,10,0,0,0,0
unwrapped,0,0,0,48,38,9,9,0,0,0,4
wrapped,0,0,-0.5,49,38,0,10,0,0,0,0
unwrapped,0,0,0,50,39,9,9,0,0,0,0.10000000149
wrapped,0,0,-0.5,51,39,0,10,0,0,0,0
unwrapped,0,0,0,52,40,9,9,0,0,0,10
wrapped,0,0,-0.5,53,40,0,10,0,0,0,0
unwrapped,0,0,0,54,41,9,9,0,0,0,0
wrapped,0,0,-0.5,55,41,0,10,0,0,0,0
unwrapped,0,0,0,56,42,9,9,0,0,0,0
wrapped,0,0,-0.5,57,42,0,10,0,0,0,0
unwrapped,0,0,1,58,43,9,6,0,0,0,0.25
wrapped,0,0,-0.5,59,43,0,1,0,0,0,0
unwrapped,0,0,0,60,44,9,6,0,0,0,0.40000000596
wrapped,0,0,-0.5,61,44,0,1,0,0,0,0
unwrapped,0,0,0.5,62,45,9,6,0,0,0,0.5
wrapped,0,0,-0.5,63,45,0,1,0,0,0,0
effect,0,0,0,64,46,0,33,0,0,0,0
effect,0,0,0,65,47,0,29,0,0,0,0
effect,0,0,0,66,48,0,30,0,0,0,0
effect,0,0,10,74,55,8,34,0,0,0,0
effect,0,0,0,76,57,0,35,0,0,0,0
effect,0,0,10,79,59,8,34,0,0,0,0
effect2,0,0,10,80,59,8,34,1.57079637051,0,0,0
pet,0,0,0,81,60,9,11,0,0,0,0.25
lightEffect,0,0,0,82,61,0,36,0,0,0,0
voidEffect,0,0,0,83,61,0,37,0,0,0,0
neutralEff,0,0,0,84,61,0,38,0,0,0,0
item,0,0,0,85,62,9,15,0,0,0,0.10000000149
creature,0,0,0.30000001192,86,63,9,14,0.17453292012,0,0,0.20000000298
creature,0,0,0.5,87,64,9,14,0.17453292012,0,0,0.60000002384
creature,0,0,0.5,88,65,9,14,0.17453292012,0,0,0.80000001192
creature,0,0,0.40000000596,89,66,9,14,0.17453292012,0,0,1
creature,0,0,0,90,67,9,14,0.17453292012,0,0,1.25
creature,0,0,-1,91,68,9,14,0.17453292012,0,0,0.30000001192
creature,0,0,-13,92,69,9,14,0.17453292012,0,0,0.44999998808
creature,0,0,0.5,93,70,9,39,0.17453292012,0,0,0.60000002384
creature,0,0,3.09999990463,94,71,9,14,0.17453292012,0,0,0.20000000298
item,0,0,0,95,72,15,15,-2.61799383163,0,0,0.69999998808
item,0,0,0,96,73,10,15,-2.61799383163,0,0,0
item,0,0,0,97,74,11,15,-2.61799383163,0,0,0.25
item,0,0,0,98,75,15,15,-2.61799383163,0,0,0.5
item,0,0,0,99,76,14,15,-2.61799383163,0,0,0.89999997616
item,0,0,0,100,77,15,15,-2.61799383163,0,0,0.40000000596
item,0.5,0,0,101,78,15,15,-2.61799383163,0,0,0.15999999642
item,0.30000001192,0,0,102,79,15,15,-2.61799383163,0,0,0.30000001192
item,0.15000000596,0,0,103,80,15,15,-2.61799383163,0,0,0.5
item,0.5,0,0,104,81,15,15,-2.61799383163,0,0,0.30000001192
item,1.39999997616,0,0,105,82,15,15,-2.61799383163,0,0,0.1400000006
item,3,0,-0.75,106,83,15,15,-2.61799383163,0,0,0.25
item,0.5,0,0,107,84,15,15,-2.61799383163,0,0,0.10000000149
item1,-1.5,0,-2.5,108,85,15,15,4.71238899231,0,0,0.37000000477
item2,1.5,0,-1,109,85,15,15,-2.61799383163,0,0,0.37000000477
creature,0,0,0.10000000149,110,86,9,14,0.17453292012,0,0,0.30000001192
creature,0,0,0,111,87,9,14,0.17453292012,0,0,0.60000002384
creature,0,0,-4.5,112,88,9,14,0.17453292012,0,0,0.60000002384
creature,0,0,-1,113,89,9,14,0.17453292012,0,0,0.25
creature,0,0,-9,114,90,9,14,0.17453292012,0,0,0.80000001192
creature,0,0,-2,115,91,9,14,0.17453292012,0,0,0.40000000596
creature,0,0,-2,116,92,9,14,0.17453292012,0,0,0.60000002384
creature,0,0,1,117,93,9,14,0.17453292012,0,0,0.40000000596
item1,1.89999997616,0,-0.60000002384,118,94,15,40,4.53785610199,0,0,1.29999995232
item2,0.05000000075,0,0.20000000298,119,94,15,15,-2.61799383163,0,0,0.34999999404
item1,2.09999990463,0,0.10000000149,120,95,15,15,4.53785610199,0,0,1.5
item2,1.39999997616,5,0.69999998808,121,95,15,15,-2.26892805099,0,0,0.25
item1,1.5,5,0.15000000596,123,96,15,15,-2.61799383163,0,0,0.25
item2,1.79999995232,0,0,124,96,15,15,4.71238899231,0,0,1.29999995232
item1,2.15000009537,0,-0.30000001192,125,97,15,40,4.88692188263,0,0,0.94999998808
item2,-0.60000002384,0,0.10000000149,126,97,15,15,-2.61799383163,0,0,0.52999997139
item1,-1,0,0.30000001192,127,99,15,15,-2.26892805099,0,0,0.60000002384
item2,1,0,0.30000001192,128,99,15,15,4.53785610199,0,0,0.60000002384
item,0,0,-1,129,100,15,15,-2.61799383163,0,0,0.69999998808
item1,-2,0,0.15000000596,133,101,15,15,-2.61799383163,0,0,0.93000000715
item2,3.5,0,-0.20000000298,134,101,15,40,4.88692188263,0,0,1.45000004768
item1,-3.40000009537,0,0.80000001192,135,102,15,15,-2.61799383163,-0.08726646006,0.08726646006,1.35000002384
item2,-3.63000011444,-1,-0.64999997616,136,102,15,15,-2.09439516068,0,0,5.19999980927
item1,-2.79999995232,0,0.30000001192,137,103,15,40,-2.26892805099,0,0,1.79999995232
item2,1.64999997616,0,0.10000000149,138,103,15,15,-2.61799383163,0.08726646006,0,0.69999998808
item3,4.5,0,0.55000001192,139,102,15,15,-1.65806281567,-0.08726646006,0,0.72000002861
item,0.01499999966,0,-0.17000000179,140,104,15,15,-2.61799383163,0,0,0.40000000596
item,1,0,-0.20000000298,141,105,15,15,-2.61799383163,0,0,0.34999999404
item1,-2.20000004768,0,1,142,106,15,15,-2.61799383163,-0.08726646006,0.10471975803,1.25
item2,-1.5,-1,-0.25,143,106,15,15,-2.26892805099,0,0,3.59999990463
item3,3.29999995232,0,0.60000002384,144,106,15,15,-1.65806281567,-0.08726646006,0,0.73000001907
item1,1.70000004768,1,0.89999997616,145,107,15,15,-1.22173047066,0,0.08726646006,1.25
item2,1.85000002384,-3,-0.40000000596,146,107,15,15,-1.57079637051,0.26179939508,0,3.5
item3,-0.75,-2,0.44999998808,147,107,15,15,-2.44346094131,-0.08726646006,0,0.73000001907
effect,0,0,0,148,108,14,44,0,0,0,2
effect,0,0.02999999933,-0.10000000149,149,109,14,41,0,0,0,0
party1,2,-1.5,-1.25,150,110,0,149,2.61799383163,0,0,0
party2,2,1.5,-1.25,151,110,0,150,3.49065852165,0,0,0
party3,4,-3.5,-1.25,152,110,0,151,2.61799383163,0,0,0
party4,4,3.5,-1.25,153,110,0,152,3.66519141197,0,0,0
player,1,0,-1.5,155,110,0,162,2.96705961227,0,0,0
effect,0,0,0,156,111,0,0,0,0,0,0
creature,0,0,0.10000000149,259,213,9,14,0.17453292012,0,0,0.40000000596
effect,0,2.29999995232,0,260,214,0,145,0,0,0,0
grunt1,4,-1.25,-1.25,269,217,0,147,2.87979316711,0,0,0
grunt2,4,1.5,-1.25,270,217,0,157,3.49065852165,0,0,0
grunt3,6,-3.5,-1.25,271,217,0,147,2.61799383163,0,0,0
grunt4,6,3.5,-1.25,272,217,0,147,3.66519141197,0,0,0
effect,0,0,0,274,219,0,0,0,0,0,0
effect,0,0,-0.40000000596,276,221,0,0,0,0,0,0
effect,0,0,-0.40000000596,277,222,0,146,0,0,0,0
grunt5,10,-5.5,-1.25,280,217,0,147,2.61799383163,0,0,0
grunt6,10,5.5,-1.25,281,217,0,147,3.66519141197,0,0,0
grunt7,12,-4,-1.25,282,217,0,147,2.61799383163,0,0,0
grunt8,12,4,-1.25,283,217,0,147,3.66519141197,0,0,0
player,1,0,-1.5,284,217,0,160,3.14159274101,0,0,0
effect,0,0,-0.40000000596,288,223,0,0,0,0,0,0
creature,0,0,-5,289,224,9,14,0.17453292012,0,0,0
creature,8,0,-5,290,225,9,14,0.17453292012,0,0,0.03999999911
unwrapped,0,0,1.5,291,226,9,6,0,0,0,0.10000000149
wrapped,0,0,-0.5,292,226,0,1,0,0,0,0
unwrapped,0,0,0,293,227,9,6,0,0,0,0.15000000596
wrapped,0,0,-0.5,294,227,0,1,0,0,0,0
unwrapped,0,0,2,295,228,9,6,0,0,0,0.25
wrapped,0,0,-0.5,296,228,0,1,0,0,0,0
party1,2,-1.5,-1.25,297,229,0,153,2.96705961227,0,0,0
party2,2,1.5,-1.25,298,229,0,154,3.66519141197,0,0,0
party3,4,-3.5,-1.25,299,229,0,155,0,0,0,0
party4,4,3.5,-1.25,300,229,0,156,3.66519141197,0,0,0
player,1,0,-1.5,301,229,0,42,2.96705961227,0,0,0
grunt1,4,-1.5,-1.25,317,231,0,158,2.61799383163,0,0,0
grunt2,4,1.5,-1.25,318,231,0,159,3.49065852165,0,0,0
grunt3,6,-3.5,-1.25,319,231,0,159,2.61799383163,0,0,0
grunt4,6,3.5,-1.25,320,231,0,158,3.66519141197,0,0,0
grunt5,10,-5.5,-1.25,321,231,0,158,2.61799383163,0,0,0
grunt6,10,5.5,-1.25,322,231,0,158,3.66519141197,0,0,0
grunt7,12,-4,-1.25,323,231,0,158,2.61799383163,0,0,0
grunt8,12,4,-1.25,324,231,0,158,3.66519141197,0,0,0
player,1,0,-1.5,325,231,0,161,3.14159274101,0,0,0
grunt1,4,-1.5,-1.25,326,232,0,158,2.61799383163,0,0,0
grunt2,4,1.5,-1.25,327,232,0,159,3.49065852165,0,0,0
grunt3,6,-3.5,-1.25,328,232,0,159,2.61799383163,0,0,0
grunt4,6,3.5,-1.25,329,232,0,158,3.66519141197,0,0,0
grunt5,10,-5.5,-1.25,330,232,0,158,2.61799383163,0,0,0
grunt6,10,5.5,-1.25,331,232,0,158,3.66519141197,0,0,0
grunt7,12,-4,-1.25,332,232,0,158,2.61799383163,0,0,0
