ID,BaseDir_0,BaseDir_1,BaseDir_2,VarianceDir_0,VarianceDir_1,VarianceDir_2,MaxStepDir_0,MaxStepDir_1,MaxStepDir_2,BaseMag,VarianceMagOver,VarianceMagUnder,MaxStepMag,Frequency,Duration,Flags
1,0,1,0,0.10000000149,0.25,0.05000000075,0.05000000075,0.05000000075,0.05000000075,5,6,5,1,0,0,0
6,0,-1,0,0.10000000149,0.25,0.05000000075,0.05000000075,0.05000000075,0.05000000075,5,6,5,1,0,0,0
11,-1,10,0,6,9.5,0.5,0.25,0.5,0.02500000037,5,1.5,3.5,0.5,0,0,0
12,-1,10,0,6,9.5,0.5,0.25,0.5,0.02500000037,2,1,1.79999995232,0.30000001192,0,0,0
13,-1,10,0,6,9.5,0.5,0.25,0.5,0.02500000037,8,4,6,0.5,0,0,0
14,10,0,0,9.5,6,0.5,0.5,0.30000001192,0.02500000037,9,5,6,0.5,0,0,0
17,-1,10,0,6,9.5,0.5,0.25,0.5,0.02500000037,1.5,1,1.5,0.20000000298,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1,10,0,6,9.5,0.5,0.25,0.5,0.02500000037,2.5,1.5,2,0.30000001192,0,0,32
23,-10,10,0,9.5,9.5,0.5,0.5,0.5,0.02500000037,8,4,6,0.5,0,0,0
124,13.5,10,5.5,2,2,0,0.20000000298,0.20000000298,0.02500000037,20,4,6,0.20000000298,0,0,0
126,-10,-10,0,6,6,0.5,0.5,0.5,0.02500000037,5,1.5,3.5,0.5,0,0,0
129,10,0,0,9.5,6,0.5,0.5,0.30000001192,0.02500000037,14,5,6,0.5,0,0,0
130,-1,1,0,6,9.5,0.5,0.25,0.5,0.02500000037,20,4,6,0.5,0,1,0
134,10,10,0,6,6,0.5,0.5,0.5,0.00249999994,5,1.5,3.5,0.5,0,0,0
